name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
SAMUELLICK,https://www.nairaland.com/samuellick,,"July 14, 2020","2:29pm On Jul 24, 2020",,,,17 minutes & 56 seconds,16,0
Shegs12345,https://www.nairaland.com/shegs12345,Lagos,"December 28, 2017",9:44am On Jul 22,2100424049 UBA Adeyinka Olusegun,m,,5 days & 17 hours,215,3
anucha20natasha,https://www.nairaland.com/anucha20natasha,,"August 05, 2020","2:40am On Aug 16, 2020",,,,5 hours & 32 minutes,154,0
emiron18,https://www.nairaland.com/emiron18,,"April 30, 2019",12:38am On Jul 25,,m,,1 day,442,3
Alhadady,https://www.nairaland.com/alhadady,,"September 02, 2020",9:24am On Jul 20,,,,4 hours & 31 minutes,23,22
suchmuch,https://www.nairaland.com/suchmuch,,"December 14, 2015",12:25pm On Jul 28,,,https:///5svlqm,1 month & 3 days,1331,44
Arifabconcept82,https://www.nairaland.com/arifabconcept82,,"October 21, 2016","8:12pm On Sep 30, 2021",,,,1 day & 4 hours,24,6
chrisricky0987,https://www.nairaland.com/chrisricky0987,,"February 20, 2021","3:17pm On Feb 21, 2021",,,,53 minutes & 28 seconds,3,0
AishaYesufu,https://www.nairaland.com/aishayesufu,,"October 18, 2020","8:35pm On Nov 19, 2021",,,,11 days & 14 hours,584,164
Kheeng1,https://www.nairaland.com/kheeng1,,"July 26, 2017","6:02pm On Oct 12, 2021",,,,7 hours & 52 minutes,218,1
Ameenat96,https://www.nairaland.com/ameenat96,Lagos,"May 01, 2019",3:10am On Mar 23,,f,,3 hours & 17 minutes,8,3
Simon12ks,https://www.nairaland.com/simon12ks,,"May 23, 2021","6:03pm On May 23, 2021",,,,2 hours & 28 minutes,51,0
Belteshazzar18,https://www.nairaland.com/belteshazzar18,,"June 17, 2020","5:02pm On Jul 10, 2021",,,,54 minutes & 42 seconds,15,0
Nasww22nasww,https://www.nairaland.com/nasww22nasww,,"June 05, 2021","6:41am On Jun 08, 2021",,,,2 hours & 11 minutes,98,0
Raphoeworld,https://www.nairaland.com/raphoeworld,,"May 15, 2015","8:43pm On Nov 21, 2021",,,,3 days & 6 hours,215,18
aleemtayo,https://www.nairaland.com/aleemtayo,,"June 16, 2015","1:20pm On Dec 26, 2021",Impossible is just my starting point ,m,,3 days & 6 hours,65,10
Bukasint,https://www.nairaland.com/bukasint,UNITED STATE OF AMERICA ( Chicago),"November 06, 2018",8:07am On Apr 20,A Female Doctor with Big ❤️ with much Love to share...,f,Ask Privately,17 days & 7 hours,632,14
Marcy45marcy,https://www.nairaland.com/marcy45marcy,,"July 13, 2021","9:30am On Jul 23, 2021",,,,3 hours & 28 minutes,93,0
Jbeejas,https://www.nairaland.com/jbeejas,Canada ,"May 17, 2021",12:03pm On Mar 21,,m,,2 hours & 2 minutes,4,0
Spikes123,https://www.nairaland.com/spikes123,Lagos,"December 06, 2016",7:57pm On Jul 24,,,Davidotokinews,5 days & 22 hours,244,90
aishatgains,https://www.nairaland.com/aishatgains,,"August 07, 2021","7:33pm On Sep 18, 2021",,,,4 hours & 38 minutes,24,12
Twakor,https://www.nairaland.com/twakor,,"July 31, 2015",9:34pm,,,,20 days & 8 hours,139,3
Jeremy123,https://www.nairaland.com/jeremy123,Lagos ,"June 10, 2017",10:42pm,,m,,16 days & 20 hours,398,20
f100,https://www.nairaland.com/f100,,"March 24, 2021",10:26pm On Jul 24,,,,1 hour & 14 minutes,6,5
IgiveLadiesBj,https://www.nairaland.com/igiveladiesbj,Germany Bound,"June 25, 2019",10:43pm,Seeking the meaning of life,,,2 months & 10 days,1951,35
Beebah2000,https://www.nairaland.com/beebah2000,Heaven,"July 21, 2021",9:52am,I Thought Maybe You Could Love Me Like You Used To. Even Though I'm... Different. But You Changed Too. ,,,1 month & 11 days,5007,19
chibuzorchina,https://www.nairaland.com/chibuzorchina,,"October 25, 2018",1:44pm On Jan 27,,,,35 minutes & 11 seconds,4,1
Recknold,https://www.nairaland.com/recknold,,"March 03, 2022",6:30pm On Apr 30,"Join Winko Life Support,Its Simple A Unique,Secured and Proficient platform that benefits its members  in acquiring Financial  Stability By Donating to A member in Need Of Help And in return get 50% Of Your Donation in 3Days..Both Capital and Interest Pai",f,,26 minutes & 52 seconds,3,0
Abubakarjibril1,https://www.nairaland.com/abubakarjibril1,Lagos ,"April 18, 2022",7:20pm On May 14,,m,,3 hours & 13 minutes,10,8
huzhe3423379,https://www.nairaland.com/huzhe3423379,中国,"April 20, 2022",12:11am On Apr 25,大量购买礼品卡,m,,2 hours & 25 minutes,11,2
Lucy1314,https://www.nairaland.com/lucy1314,,"April 20, 2022",4:02pm On Apr 21,,,,39 minutes,3,0
jackslow,https://www.nairaland.com/jackslow,Lagos ,"March 06, 2015",10:27pm,07017607723 ,,,2 months,1670,57
Sylarrr,https://www.nairaland.com/sylarrr,,"July 02, 2022",6:56am On Jul 02,,,,5 minutes & 17 seconds,3,0
Yinkusgold,https://www.nairaland.com/yinkusgold,,"June 07, 2021",6:53pm On Jul 16,,,,3 days & 8 hours,299,0
Crismaxi,https://www.nairaland.com/crismaxi,,"July 09, 2022",12:28am On Jul 10,,,,51 minutes & 44 seconds,13,0
Solanaa,https://www.nairaland.com/solanaa,,"October 18, 2021",2:57pm,,,,6 days & 20 hours,284,17
Stanbiccode,https://www.nairaland.com/stanbiccode,,"May 09, 2022",2:40pm,https://www.bankussdcode.com/wp-content/uploads/2021/09/stanbic-ibtc-transfer-code.jpg,,,1 hour & 33 minutes,23,7
Seun,https://www.nairaland.com/seun,"Ogun State, Nigeria","March 10, 2005",10:12pm,,m,seunosewa,2 years & 6 months,35317,1107
Decryptor,https://www.nairaland.com/decryptor,look closer...,"March 07, 2009",5:35am On Jul 14,TRUTH HURTS,m,,2 months & 11 days,5848,102
vizboy,https://www.nairaland.com/vizboy,HEAVEN,"August 13, 2012",10:15pm,Welcome To My Profile ladies and Gent My Name Is ...................Not Necessary,m,vizboyz007,11 months & 15 days,5629,201
iamswizz,https://www.nairaland.com/iamswizz,Mars,"October 23, 2012",10:20pm,Dont make a mistake twice.... make it 5 or 6 times....,m,,2 months & 15 days,1754,27
Brimmie,https://www.nairaland.com/brimmie,"Mainland, Lagos","March 10, 2013",11:10am On Jul 07,"I Was A Young Fresh Fine Milky Ajepako Funky Boi! Before Time, School, And Hustle Took Its Toll! God Bless Ma Hustle Yo!",m,@BellingBalls,2 months & 27 days,4726,68
Swiftboy,https://www.nairaland.com/swiftboy,Lagos,"June 22, 2013",7:24pm,I love music and am loved by music!,m,@IamSwiftSolo,1 month & 16 days,2154,49
Jboy5050,https://www.nairaland.com/jboy5050,"Abuja,Nigeria","June 22, 2012","4:44am On Jul 19, 2021",SHILOH 2018 A NEW DAWN,m,@MohYahTorh,1 month & 2 days,171,0
Hadeyemy,https://www.nairaland.com/hadeyemy,"Lagos, Nigeria","June 04, 2012","8:55am On Apr 12, 2021",,,Afolybtroy,1 month & 22 days,271,18
dridowu,https://www.nairaland.com/dridowu,In your father sitting room...............................,"October 22, 2011","1:51pm On Oct 11, 2016",,,,5 months & 20 days,8878,502
soccer3,https://www.nairaland.com/soccer3,,"June 08, 2013","1:14am On Nov 01, 2013",,,,1 day & 4 hours,81,0
AbuMikey,https://www.nairaland.com/abumikey,,"May 15, 2013",5:11pm On Jul 28,Architect.,m,,5 months & 14 days,12692,113
kingthreat,https://www.nairaland.com/kingthreat,,"June 20, 2013",8:31pm,,m,,4 months & 29 days,10222,49
yemi2plus,https://www.nairaland.com/yemi2plus,,"September 21, 2011",8:47pm,,m,@Yemi2plus,6 months & 15 days,4193,44
Nikapetrelli,https://www.nairaland.com/nikapetrelli,Anambra,"August 31, 2013",9:07am On Jul 22,"Easy going,love travelling,movies,music,dancing,tolerant,n Love God very much n fear him",f,,1 month & 20 days,2044,0
WhyAWhy,https://www.nairaland.com/whyawhy,hidden in Christ,"April 20, 2009","3:18am On Dec 09, 2021","Awesome God, aw great thou art",m,,21 days & 9 hours,673,15
Pretyangel25,https://www.nairaland.com/pretyangel25,calabar,"January 14, 2013","2:27pm On Aug 13, 2019",I'm on top of the world doing my things,f,,11 days & 10 hours,607,8
lightheart,https://www.nairaland.com/lightheart,"Lagos, Nigeria","November 21, 2008",9:26pm,,m,,7 months,1787,73
homesteady,https://www.nairaland.com/homesteady,from kano to kaduna to benin,"October 24, 2012",10:44pm,"My name is ABO and I have an American friend called SEAN......call us ""ABORTION""",m,,9 months & 13 days,21254,293
yusufu16,https://www.nairaland.com/yusufu16,,"October 10, 2008",9:38am,,,https://www.nairaland.com/1498193/graphics-research-group-grg#19186651,3 months & 26 days,1471,177
otumfour,https://www.nairaland.com/otumfour,GHANA,"August 04, 2010",1:25am On Jul 18,I#Rep#GhanA,m,,2 months & 5 days,3648,74
MEILYN,https://www.nairaland.com/meilyn,lagos,"January 28, 2012","5:21pm On Nov 17, 2020","John 14:2626 But the Comforter, which is the Holy Ghost, whom the Father will send in my name, he shall teach you all things, and bring all things to your remembrance ,whatsoever I have said unto you.",m,,3 months & 13 days,4517,82
SalC,https://www.nairaland.com/salc,,"April 11, 2013",12:36pm On Jun 09,,,,6 months & 7 days,6259,10
ludot,https://www.nairaland.com/ludot,,"October 04, 2008",9:34pm,,m,,4 days,133,42
Acidosis,https://www.nairaland.com/acidosis,Lagos,"February 06, 2010",10:14pm,,m,,1 year & 3 months,28761,368
Zillight,https://www.nairaland.com/zillight,Paradise on Planet Earth.,"February 24, 2013",12:00am On Jun 11,Oluwa Is Involved,,@zillight,14 days,216,2
tundebj,https://www.nairaland.com/tundebj,Nigeria,"July 16, 2009","9:54am On Apr 15, 2020","Passive income is for life, Your Money grow instead of just sitting idle in an account. check my link below",m,,4 days & 6 hours,196,9
chivision,https://www.nairaland.com/chivision,,"July 10, 2009","9:58pm On Mar 25, 2020",,,,1 day & 6 hours,54,4
chuqudy,https://www.nairaland.com/chuqudy,Nigeria,"March 31, 2008","9:49pm On Aug 11, 2021",Don't worry be happy,m,,17 days & 1 hour,907,108
Infoay,https://www.nairaland.com/infoay,,"July 31, 2013",9:56pm,,,,3 months & 17 days,404,4
Dannylux,https://www.nairaland.com/dannylux,,"May 22, 2013","7:50am On Dec 28, 2016",My absence is  borne out of great necessity. I love Rock Music.,,,25 days & 17 hours,4136,19
MeAndYou,https://www.nairaland.com/meandyou,Lagos and Enugu,"February 20, 2012","6:34pm On Jul 19, 2019"," For smart Google, Facebook and Nairaland banner design, pls gimme a call +2348020556192, +2348066546878(Whatsapp).",m,,13 days & 20 hours,423,11
egift,https://www.nairaland.com/egift,Nigeria,"January 26, 2010","2:41pm On Dec 28, 2017",,m,nairametro234,6 months & 22 days,13997,651
Slyder,https://www.nairaland.com/slyder,,"June 13, 2013","8:14pm On Dec 06, 2015",,m,,6 days & 8 hours,227,6
redcliff,https://www.nairaland.com/redcliff,NG,"June 01, 2009",10:06am On Jul 23,,,,7 months & 5 days,10807,277
tellwisdom,https://www.nairaland.com/tellwisdom,Yansh island,"September 22, 2009",2:07pm On Jul 28,"I speak the truth, but I guess that's a foreign language to y'all!!!!...",,,8 months & 2 days,15449,104
Bukkyade,https://www.nairaland.com/bukkyade,,"June 18, 2012","2:06am On Jun 16, 2017",,,,3 days & 14 hours,292,2
Incrizz,https://www.nairaland.com/incrizz,In Christ..,"July 28, 2013",5:18pm On Jan 30,JESUS The Son of GOD is soon returning,f,,17 days & 19 hours,1998,65
PastorAji,https://www.nairaland.com/pastoraji,in your heart,"October 01, 2010","10:46pm On Jun 24, 2019",,m,,2 months & 24 days,1711,38
Tolustar,https://www.nairaland.com/tolustar,Paradise,"November 07, 2012","10:04pm On Dec 24, 2020",,m,Tolustar29,11 days & 8 hours,174,24
sweetgala,https://www.nairaland.com/sweetgala,mama sikira's ogogoro joint. ,"July 12, 2011",10:40pm On Jul 28,,m,,2 months & 23 days,6516,3
Dhurmynick,https://www.nairaland.com/dhurmynick,Worldwide,"July 23, 2013",4:45am On Apr 04,"Living Young, Wild and Free.",m,,20 days & 5 hours,1452,69
Archmage,https://www.nairaland.com/archmage,Lagos,"October 04, 2013",8:14pm On Jul 28,,m,@kz_archmage,3 months & 5 days,330,8
emmabest2000,https://www.nairaland.com/emmabest2000,,"November 07, 2012",3:41pm,"In Order To Succeed , Your Desire For Success Should Be Greater Than Your Fear Of Failure, To Dare Is To Do !!!",m,,7 months & 28 days,7540,87
lovex92,https://www.nairaland.com/lovex92,lagos,"June 24, 2013","6:51am On Nov 01, 2013",,m,importcashflow,3 hours & 18 minutes,7,2
Ogundale,https://www.nairaland.com/ogundale,Banana island with yuzedo,"October 20, 2011",9:25am On Jul 05,"You have the right to remain silent in the cos of manipulating ur puzzyy lips or face the wrath of oduduwa.
#We came and we conquer.",m,,10 days & 14 hours,654,74
Mannastoress,https://www.nairaland.com/mannastoress," Lagos","May 08, 2012","9:44am On Jun 12, 2015",,,mannastores,5 days & 5 hours,209,59
docjuli,https://www.nairaland.com/docjuli,"Lagos, Nigeria","March 12, 2008",8:19am,Smiling faces make me happy,m,docjuli,1 month & 5 days,760,131
kodewrita,https://www.nairaland.com/kodewrita,,"March 28, 2005",11:33am On Jun 11,I Never Give Up.,m,,1 month & 17 days,2192,94
smartg,https://www.nairaland.com/smartg,,"November 10, 2012","9:18am On Dec 05, 2017","No HURRY in life; GOD's time is the BEST. And If you re too BIG to serve, you are too SMALL to lead",m,,21 days & 1 hour,607,11
Lilimax,https://www.nairaland.com/lilimax,In the palm of my Maker,"February 15, 2013",5:26am,...He frustated the token of lairs and makes the diviners mad... ,f,,3 months & 29 days,15141,148
cmonek,https://www.nairaland.com/cmonek,Nil,"June 17, 2011",9:19am On Jul 27,,m,,3 months & 21 days,312,33
Georgesmartt,https://www.nairaland.com/georgesmartt,K-TOWN,"October 18, 2012","7:43pm On Jan 10, 2014",All senses at Alert!!!,m,georgesmartt,8 days & 23 hours,93,0
sawhite,https://www.nairaland.com/sawhite,,"January 06, 2011","12:36pm On Mar 16, 2018",,,,1 month & 27 days,1591,25
Bulldog,https://www.nairaland.com/bulldog,south east nigeria,"October 19, 2006",9:53pm On Jun 09,Do unto others what u want them do unto you,m,@1stenjel,12 days & 22 hours,582,28
marcjoe,https://www.nairaland.com/marcjoe,HEAVEN,"January 07, 2012",5:53pm,,m,,3 months & 25 days,3602,25
xxxxyy,https://www.nairaland.com/xxxxyy,,"November 02, 2011","3:44pm On Mar 16, 2016",,,,1 hour & 39 minutes,5,0
arjunm,https://www.nairaland.com/arjunm,,"July 28, 2012","8:38am On Nov 24, 2020",,,,1 hour & 36 minutes,8,2
Olami1224,https://www.nairaland.com/olami1224,,"December 17, 2009",1:22pm,,,,2 months & 5 days,850,145
Eras009,https://www.nairaland.com/eras009,"Benin city, Edo State","December 14, 2013","10:39pm On Dec 14, 2013",i love this site,m,,35 minutes & 25 seconds,1,0
mrkindsley,https://www.nairaland.com/mrkindsley,,"December 30, 2013","7:39am On Jan 02, 2014",,,,48 minutes & 24 seconds,9,0
johnsteed18,https://www.nairaland.com/johnsteed18,usa,"July 19, 2014","7:21pm On Dec 12, 2015",bv,m,,1 hour & 35 minutes,3,1
Kangol99,https://www.nairaland.com/kangol99,Nigeria,"January 09, 2013","5:35am On Mar 31, 2020",Am John Taiwo. A blogger and Infopreneur,m,twitter.com/johntaiwo123,14 days & 5 hours,1817,332
adewalemuniru,https://www.nairaland.com/adewalemuniru,,"October 12, 2014","8:10pm On Oct 12, 2014",,,,45 minutes & 22 seconds,1,0
Affordablepty,https://www.nairaland.com/affordablepty,,"June 29, 2014","5:50pm On Mar 01, 2021",,m,,21 hours & 59 minutes,129,37
mainpesin,https://www.nairaland.com/mainpesin,,"November 02, 2013","10:45pm On Sep 22, 2021",+23480252960115,,,3 days & 19 hours,31,12
Joseph2000,https://www.nairaland.com/joseph2000,Abuja,"February 10, 2015","7:15am On Jan 04, 2020",,,,3 hours & 20 minutes,5,2
Misterdhee1,https://www.nairaland.com/misterdhee1,Abuja,"July 06, 2014",8:51pm," ",m,,6 months & 24 days,3577,96
nonso500,https://www.nairaland.com/nonso500,Lagos,"January 18, 2013","8:55pm On Mar 04, 2020",,,https://twitter.com/9jatea,5 days & 23 hours,66,49
tyywo,https://www.nairaland.com/tyywo,,"May 04, 2007","4:36pm On Jul 21, 2016",,,,8 hours & 18 minutes,16,9
architectolooye,https://www.nairaland.com/architectolooye,"ABUJA, LAGOS AND OSUN","March 30, 2015","1:36pm On Nov 25, 2016",STRUCTURAL STABILITY IS OUR CONCERN,m,,2 hours & 56 minutes,2,0
okpismart,https://www.nairaland.com/okpismart,,"July 13, 2010","7:39am On Jun 24, 2021",,,,22 days & 14 hours,679,298
Spyonsurvey,https://www.nairaland.com/spyonsurvey,,"May 06, 2015","10:34pm On Dec 18, 2016",Supply & Installation,,,8 hours & 5 minutes,81,15
alokongbo,https://www.nairaland.com/alokongbo,,"May 19, 2015","11:30pm On Feb 28, 2018",,,,8 days & 21 hours,40,1
henrymichael,https://www.nairaland.com/henrymichael,,"June 02, 2015","8:29pm On Dec 13, 2021",,,,17 hours & 46 minutes,48,8
Osazeode,https://www.nairaland.com/osazeode,,"June 01, 2015","7:52am On Jun 07, 2015",,,,27 minutes & 24 seconds,5,0
walemadu,https://www.nairaland.com/walemadu,"lagos, Abuja","March 27, 2015","8:26pm On Jul 29, 2017",Service that works,,,4 days & 6 hours,494,2
mark2016,https://www.nairaland.com/mark2016,,"June 06, 2015","9:02am On Jul 21, 2015",This is to inform you that 2015/2016 post UTME is out for all university and upgrading of jamb is still ON ..for more Information Call Admin +2348104197502  Thanks..........,m,,3 hours & 1 minute,86,0
cybermike,https://www.nairaland.com/cybermike,Nigeria,"October 15, 2009","2:42am On May 14, 2018",,m,,1 day & 3 hours,38,6
tunesoft,https://www.nairaland.com/tunesoft,,"April 01, 2007",3:05pm On Jul 13,,m,,1 month & 3 days,627,22
jordancircuit,https://www.nairaland.com/jordancircuit,,"June 24, 2015","5:18pm On Aug 20, 2015",,m,,11 hours & 36 minutes,16,0
Tobisky16,https://www.nairaland.com/tobisky16,,"August 20, 2013","11:52pm On Jul 17, 2020",,,,4 days & 3 hours,62,2
jammeyboy,https://www.nairaland.com/jammeyboy,Ibadan,"September 20, 2015","2:23am On Mar 13, 2016",check my blog for the steps on how to make #4000 daily http://obofunds.com/?ref=letsurvey,m,@callme_Charles,4 days & 22 hours,602,1
princejela,https://www.nairaland.com/princejela,"nigeria,","April 12, 2011","12:14pm On May 26, 2018",me,m,,1 day & 6 hours,77,37
topeorekoy,https://www.nairaland.com/topeorekoy,nigeria,"June 23, 2006","7:09am On Aug 04, 2019",Follow me on Instagram topeorekoyaofficial,m,@topeorekoya2003,3 months & 19 days,2956,903
QueenIdeas,https://www.nairaland.com/queenideas,Abuja,"November 05, 2015","12:45pm On Feb 11, 2020",Wisdom is better than strength,f,@queenideas,3 hours & 2 minutes,7,0
Easycheddah,https://www.nairaland.com/easycheddah,"Ojo, Lagos","December 17, 2013","11:27pm On May 16, 2021",Webmaster @ (DYNASTER ENTERPRISE) & C.E.O.O of PANIC GANG,m,Easycheddah,9 hours & 32 minutes,41,9
Geniustech,https://www.nairaland.com/geniustech,,"December 27, 2015","2:27pm On Aug 27, 2016",,,,15 minutes & 33 seconds,1,0
Boy101,https://www.nairaland.com/boy101,,"February 17, 2015",1:09pm On Jul 28,,m,,23 days & 7 hours,212,16
Kelvinkey,https://www.nairaland.com/kelvinkey,,"August 12, 2013","5:34pm On Mar 22, 2016",,,,1 hour & 11 minutes,2,0
TGMSMM,https://www.nairaland.com/tgmsmm,,"February 01, 2016","4:02pm On Dec 07, 2016",,,,5 hours & 4 minutes,1,0
ibktech,https://www.nairaland.com/ibktech,Ado Ekiti,"November 23, 2012",3:58pm On Jun 23,,m,,7 days & 4 hours,194,30
dan55,https://www.nairaland.com/dan55,,"May 10, 2012",7:33pm On Jun 04,,,,2 months & 7 days,814,64
LexxyTech,https://www.nairaland.com/lexxytech,,"November 16, 2015","4:18pm On Jun 21, 2016",,,,8 hours & 24 minutes,86,0
harsh121,https://www.nairaland.com/harsh121,,"July 26, 2016","2:58pm On Oct 20, 2016",,,,7 minutes & 19 seconds,2,0
vicky85,https://www.nairaland.com/vicky85,Lagos,"September 30, 2006","11:27am On Nov 07, 2017",Justpye,f,@olayemiesan,9 days & 18 hours,463,287
Tijesunime,https://www.nairaland.com/tijesunime,,"August 01, 2016","6:12am On Sep 19, 2016",,,,3 hours & 26 minutes,15,0
omosco2499,https://www.nairaland.com/omosco2499,,"September 24, 2016","9:34pm On Dec 08, 2016",NDA update,m,,33 minutes & 4 seconds,1,0
LEAD1,https://www.nairaland.com/lead1,NIGERIA,"September 19, 2016","8:48pm On Apr 17, 2020","A Blogger, internet marketer, investor and online creativity. How can I help you?",m,@talentseino,16 hours & 42 minutes,35,17
Canvisa,https://www.nairaland.com/canvisa,,"November 21, 2016","3:47pm On Dec 04, 2016",,,,1 hour & 56 minutes,5,0
Johnson29,https://www.nairaland.com/johnson29,,"November 22, 2016","2:06pm On Dec 04, 2016",,,,20 minutes & 58 seconds,5,0
TaiseerZarruk,https://www.nairaland.com/taiseerzarruk,Kaduna,"August 10, 2016","1:38am On Dec 19, 2016",To infinity And Beyound,m,,4 hours & 40 minutes,11,5
Oluwolex2000,https://www.nairaland.com/oluwolex2000,Searching...,"August 09, 2012",8:32am,You Deserve To be Entertained...,m,@komolafedaniel_,2 months & 2 days,1205,786
mediahubng,https://www.nairaland.com/mediahubng,The NET,"May 20, 2015","11:29am On Feb 27, 2020",/BetMonkie,m,BetMonkie,4 days & 18 hours,449,293
Ama14,https://www.nairaland.com/ama14,Lagos,"January 19, 2017","4:11am On Feb 14, 2017",We buy Computer and Laptop Scrap and old MODEL,m,,13 minutes & 41 seconds,1,0
JanethEze,https://www.nairaland.com/janetheze,,"August 03, 2015",8:36pm On Feb 16,,f,,3 days & 16 hours,964,33
mcstan01,https://www.nairaland.com/mcstan01,"Lagos, Nigeria.","October 03, 2013","3:23pm On Aug 29, 2018",Esse Est Percipi.. To Be Is To Be Perceived!,m,,2 days & 9 hours,109,7
computerwiz2,https://www.nairaland.com/computerwiz2,,"October 27, 2016","9:01am On Apr 16, 2020",,,,1 day & 3 hours,146,44
source10able,https://www.nairaland.com/source10able,,"January 28, 2016","11:26pm On Jan 26, 2020",,,,1 day & 9 hours,78,37
myfameblog,https://www.nairaland.com/myfameblog,lagos,"June 04, 2017","9:18pm On Sep 02, 2021",SEO master,f,,10 hours & 15 minutes,88,1
OGBONNAYAEKE,https://www.nairaland.com/ogbonnayaeke,ABUJA,"September 21, 2017","5:25pm On Sep 21, 2017","Survival is not enough, help someone survive.",m,,24 minutes & 1 second,1,0
nwaabu,https://www.nairaland.com/nwaabu,Lagos,"January 19, 2010",6:58pm On Jun 06,memory,f,,1 day & 6 hours,75,68
Austinkoko1,https://www.nairaland.com/austinkoko1,,"October 20, 2017","12:56am On Aug 04, 2021",,,,7 hours & 23 minutes,38,6
Abolarin91,https://www.nairaland.com/abolarin91,Lagos,"May 09, 2017",11:31am,Be grateful and you will get more,m,@bolarin55230646,16 days & 23 hours,1262,39
coolestchris,https://www.nairaland.com/coolestchris,In the hands of Yahweh ,"December 16, 2016","1:02pm On Sep 10, 2021",Professor X,m,,2 months & 28 days,4546,303
backspaced,https://www.nairaland.com/backspaced,,"May 29, 2010","11:15am On Jun 08, 2020",Recruitment Manager,f,,8 hours & 35 minutes,147,0
Machiny,https://www.nairaland.com/machiny,port harcourt,"May 05, 2009",9:38pm,,,,8 months & 3 days,2490,48
CofOLandOfPeace,https://www.nairaland.com/cofolandofpeace,"Lagos, Nigeria","February 25, 2018","7:07am On Nov 24, 2020",https://www.youtube.com/watch?v=GoJ_DMnvTTc,m,,9 days & 20 hours,5345,34
Ucheosefoh,https://www.nairaland.com/ucheosefoh,Nigeria,"August 05, 2010",10:43pm,,m,@ucheosefoh,1 year,6820,248
