name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Xstorm,https://www.nairaland.com/xstorm,,"July 21, 2016",8:17pm On Jun 17,,,,5 hours & 2 minutes,3,
blunts007,https://www.nairaland.com/blunts007,,"December 11, 2016",4:50pm On Jun 16,,,,3 days & 13 hours,46,
boss1987,https://www.nairaland.com/boss1987,,"June 02, 2017",10:03am On Oct 15,,,,1 day & 1 hour,104,51
Dolypson04,https://www.nairaland.com/dolypson04,Ibadan,"December 10, 2013",5:00am On Jul 14,Have the maturity to sometimes know that silence is more powerful than having the last word.,m,@Dolypson04,20 days & 22 hours,795,99
Cutealexio,https://www.nairaland.com/cutealexio,,"May 01, 2016",4:55pm On Dec 26,,m,,1 month & 6 days,234,1
next2me,https://www.nairaland.com/next2me,,"May 15, 2010",11:52pm On May 08,,,,17 days & 11 hours,13,
Alibzkenny,https://www.nairaland.com/alibzkenny,,"June 08, 2017",7:16am On Jan 05,Am a success.,,,1 day & 13 hours,12,
starman4t,https://www.nairaland.com/starman4t,Lagos,"July 12, 2017",3:39am On Nov 27,Oceanographer ,m,starmanog,1 day & 10 hours,17,
ropodinho3633,https://www.nairaland.com/ropodinho3633,,"March 22, 2017",9:24pm On Apr 02,,m,,1 month & 3 days,50,1
Geewynn,https://www.nairaland.com/geewynn,,"May 08, 2013",3:14pm On Nov 10,,m,@geewynn,1 month & 4 days,56,
Pascal679,https://www.nairaland.com/pascal679,,"July 06, 2016",8:29am On Dec 31,,,,1 day & 18 hours,90,3
gentlegeorge1,https://www.nairaland.com/gentlegeorge1,China,"July 27, 2017",9:23am On Sep 15,I am Nigerian Youtuber in China,m,gentle-george,10 hours & 19 minutes,21,5
Freeicanmaterial,https://www.nairaland.com/freeicanmaterial,,"December 31, 2016",10:18pm On Sep 04,,,,1 day & 21 hours,127,16
pastormellanby,https://www.nairaland.com/pastormellanby,,"January 13, 2016",12:31pm On Jul 17,,,,2 months & 3 days,754,249
EmpressT,https://www.nairaland.com/empresst,"Lagos, Nigeria","July 25, 2017",1:10am On Aug 23,Love conquers all in Christ.,f,,24 days & 7 hours,633,10
AmunaNo1,https://www.nairaland.com/amunano1,,"November 01, 2014",2:40pm On Feb 26,,,,1 month & 19 days,246,85
DMainMan,https://www.nairaland.com/dmainman,,"January 27, 2012",5:25pm On Jul 24,,,,2 months & 2 days,2981,198
kennynelcon,https://www.nairaland.com/kennynelcon,,"July 28, 2013",9:14pm On Jul 25,JESUS CHRIST SAVES...,m,,3 months & 26 days,2001,81
piro2rule,https://www.nairaland.com/piro2rule,,"July 14, 2017",9:21pm On Jul 25,,,,1 month & 2 days,129,
islamics,https://www.nairaland.com/islamics,"""العرض""","January 24, 2009",8:44pm On Jul 22,"Not a Saint but a Servant of Allah, The Most Merciful.",m,,2 months & 26 days,646,10
chommyblack,https://www.nairaland.com/chommyblack,,"July 15, 2017",1:13pm On Aug 25,,f,,2 days & 10 hours,13,4
theearthfinder,https://www.nairaland.com/theearthfinder,Nigeria,"August 18, 2015",8:01pm On Feb 27,Corporate Business Website Designer,,,8 hours & 7 minutes,24,9
kirikwu,https://www.nairaland.com/kirikwu,,"February 14, 2016",4:20pm On Jan 13,,,,11 days & 22 hours,46,
hardehboy,https://www.nairaland.com/hardehboy,,"August 02, 2012",6:51pm On Jan 14,,m,@hardehboy04,10 days & 23 hours,40,
Kingsirko,https://www.nairaland.com/kingsirko,Nigeria ,"October 19, 2016",11:18pm On Apr 15,I guess am into sharing posts from different sites can be a hobby ,f,@newswazobia,2 days,149,81
HarryKevin35,https://www.nairaland.com/harrykevin35,,"August 23, 2017",8:53pm On Oct 01,,,,1 day & 7 hours,6,
Daddymoski,https://www.nairaland.com/daddymoski,,"July 14, 2017",12:03pm On Nov 12,,,,1 day & 14 hours,10,
Shogoh70,https://www.nairaland.com/shogoh70,,"March 14, 2017",8:13pm On Jul 25,,,,9 days & 4 hours,21,2
Babysho,https://www.nairaland.com/babysho,,"July 03, 2014",8:23pm On Jul 25,YNWA!!!!!,m,,2 months & 11 days,1988,62
hapholahbi,https://www.nairaland.com/hapholahbi,,"June 21, 2012",11:59am On Jun 06,,,,14 days & 9 hours,56,3
otoboson,https://www.nairaland.com/otoboson,,"December 17, 2015",3:46pm On Jul 22,King_Solomon,,,13 days & 10 hours,180,
trendygirl,https://www.nairaland.com/trendygirl,,"January 08, 2014",11:07am On Jun 13,,,,17 days & 16 hours,87,3
demo4ril97,https://www.nairaland.com/demo4ril97,Universe!.,"November 08, 2015",11:05am On Jul 25,Ademola4fiverr@gmail.com,m,,3 months & 25 days,1565,38
Joiceee,https://www.nairaland.com/joiceee,The next door,"November 04, 2016",6:56am On Jul 11,If you want to know me then try!,f,,13 days & 17 hours,368,17
Absolutep,https://www.nairaland.com/absolutep,,"August 08, 2015",7:58pm On Dec 20,,,,3 days & 7 hours,17,2
kidakudz133,https://www.nairaland.com/kidakudz133,,"September 01, 2017",7:04pm On Sep 19,,,,4 hours & 4 minutes,4,
shegzeal,https://www.nairaland.com/shegzeal,,"October 29, 2012",10:08am On Feb 09,,,,1 month & 17 days,38,
Arshavin02349,https://www.nairaland.com/arshavin02349,Taraba,"March 05, 2016",10:56am On Mar 20,Cool Dude,m,,4 days & 13 hours,25,1
Horluwarsheun,https://www.nairaland.com/horluwarsheun,,"September 21, 2013",5:05am On Aug 21,,,,4 days,53,7
emenik08,https://www.nairaland.com/emenik08,,"December 19, 2013",12:12pm On Feb 16,,,,20 days & 9 hours,314,
authenticsamson,https://www.nairaland.com/authenticsamson,,"September 21, 2017",11:15am On Dec 01,,,,2 hours & 8 minutes,2,
Ibrokane,https://www.nairaland.com/ibrokane,"Lagos, Nigeria","June 19, 2013",11:30am On May 26,,m,,8 days & 11 hours,154,10
Okiem,https://www.nairaland.com/okiem,,"January 04, 2017",2:36pm On Aug 28,,m,,6 days,55,
divads,https://www.nairaland.com/divads,Nigeria,"June 25, 2013",10:49pm On Jul 25,,m,,1 month & 19 days,326,3
Rukygbas1,https://www.nairaland.com/rukygbas1,,"April 18, 2017",6:35pm On Sep 21,,f,,6 hours & 26 minutes,28,14
febishola20,https://www.nairaland.com/febishola20,,"August 28, 2017",2:30pm On Apr 04,,,,2 days & 13 hours,4,
kidakuddiez,https://www.nairaland.com/kidakuddiez,,"June 29, 2017",5:01pm On Oct 01,,,,6 hours & 3 minutes,11,
ArcTEMMY,https://www.nairaland.com/arctemmy,"Ketu, Lagos","August 19, 2016",5:29pm On Nov 22,Aman Architect! ,m,@badec99,1 hour & 16 minutes,2,
Frankfit13,https://www.nairaland.com/frankfit13,,"July 12, 2016",6:40am On Jun 03,never give up ,m,Frankbyke ,7 days & 14 hours,32,9
ODGNigeria,https://www.nairaland.com/odgnigeria,,"January 06, 2016",9:51pm On Sep 08,Co-Founder at MakeMeRank.com| Environmentalist | Quoran| Time Magazine's Person of the Year for 2006,,,13 hours & 58 minutes,29,1
Valeriemakona,https://www.nairaland.com/valeriemakona,,"September 01, 2017",4:05pm On Jan 04,,f,,23 hours & 1 minute,10,
rossovu,https://www.nairaland.com/rossovu,Madeira,"May 20, 2017",1:24pm On Jul 25,,,,2 months & 9 days,625,16
kingtunde,https://www.nairaland.com/kingtunde,,"September 28, 2017",9:19pm On May 16,,,,23 hours & 46 minutes,37,
Ericsunday619,https://www.nairaland.com/ericsunday619,,"August 15, 2017",11:11pm On Mar 15,,,,3 days & 22 hours,458,28
babsadewa,https://www.nairaland.com/babsadewa,"Funaab, Abk, Nigeria","August 23, 2010",8:20am On Jun 17,The only way forward is keep going forward...,m,@Mr_Barhbs,24 days & 19 hours,917,12
samsosdo,https://www.nairaland.com/samsosdo,Nigeria ,"September 16, 2015",5:57am On May 05,Accept Jesus Christ before its too late ,m,@dellysosdo,8 days & 2 hours,58,9
Yungsks,https://www.nairaland.com/yungsks,,"October 31, 2017",3:36pm On Dec 09,,m,,2 hours & 52 minutes,9,
JONITEZ,https://www.nairaland.com/jonitez,Nigeria,"May 23, 2013",12:08am On Jul 14,I am just me.,m,itz_brainy,25 days & 18 hours,146,10
Ladycas,https://www.nairaland.com/ladycas,,"November 04, 2017",4:16pm On Apr 08,,,,22 hours & 1 minute,21,2
ZhuoYang111,https://www.nairaland.com/zhuoyang111,CHINA,"April 12, 2015",12:16pm On Mar 05,Helping Africans and inspiring students gain better education in CHINA ,m,,11 hours & 29 minutes,34,2
lightedpath,https://www.nairaland.com/lightedpath,"Zhenjiang,  Jiangsu,  China","May 09, 2015",8:48pm On Feb 26,,f,,1 month & 8 days,369,1
industrialchemi,https://www.nairaland.com/industrialchemi,,"October 08, 2017",11:47am On Mar 03,,,,10 days & 5 hours,705,8
abb1101,https://www.nairaland.com/abb1101,,"November 25, 2017",1:57am On May 17,,,,1 hour & 27 minutes,4,
segunojo866,https://www.nairaland.com/segunojo866,,"January 08, 2017",5:04am On Feb 19,,,,10 days & 14 hours,1297,30
batero,https://www.nairaland.com/batero,,"January 22, 2009",3:42pm On May 23,,,,1 day & 20 hours,73,2
inspirational93,https://www.nairaland.com/inspirational93,,"April 14, 2017",4:05pm On Jul 09,,,,5 days & 22 hours,661,205
Solomon27,https://www.nairaland.com/solomon27,,"December 21, 2017",10:10am On Dec 22,,m,,1 day & 19 hours,221,6
LadyHeaven,https://www.nairaland.com/ladyheaven,Africa,"January 02, 2018",8:22am On Sep 21,"Live, Love, Laugh...",f,,1 month & 14 days,908,6
nowpresence,https://www.nairaland.com/nowpresence,SKIES,"September 02, 2016",8:40am On Aug 26,“Don’t let the past steal your present.” – Cherralea Morgen,f,,2 months & 29 days,1261,3
mkolawole,https://www.nairaland.com/mkolawole,,"October 31, 2017",2:10pm On Dec 18,,,,11 hours & 51 minutes,26,
chyndorek,https://www.nairaland.com/chyndorek,,"July 15, 2009",3:41pm On May 08,,,,22 days & 16 hours,163,30
