name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
timagentms,https://www.nairaland.com/timagentms,,"September 24, 2016",9:44pm,,,,2 months & 3 days,508,31
Presido44,https://www.nairaland.com/presido44,,"September 30, 2018",9:09pm,,,,4 days & 4 hours,13,0
engray,https://www.nairaland.com/engray,,"September 08, 2014",11:16pm,,,,13 days & 18 hours,59,11
AndroidAI,https://www.nairaland.com/androidai,,"November 16, 2020",8:16pm,,,,1 day & 14 hours,50,3
AgentGoat,https://www.nairaland.com/agentgoat,,"March 16, 2016",10:57pm,,,,5 months & 12 days,2823,0
Iretii0511,https://www.nairaland.com/iretii0511,Lagos,"February 18, 2019",9:16pm,,m,@HopeGreatness,2 months & 18 days,542,5
donbrowser,https://www.nairaland.com/donbrowser,Lagos,"January 05, 2013",11:16pm,No PMS! Pls forward ur mails to adexakforeal@gmail.com,m,donbrowser,4 months & 25 days,5615,131
Raalsalghul,https://www.nairaland.com/raalsalghul,The Lazarus Pit,"December 31, 2014",11:22pm,I'm here to fulfill Ra's al Ghul's destiny (Bane),,,7 months & 2 days,7602,25
poiZon,https://www.nairaland.com/poizon,,"June 28, 2014",11:09pm,,,,3 months & 5 days,5264,1
airsaylongcome,https://www.nairaland.com/airsaylongcome,,"December 06, 2020",10:10pm,,,,1 month & 12 days,3417,11
Ppp1p,https://www.nairaland.com/ppp1p,,"May 28, 2022",4:32pm,,,,10 hours & 34 minutes,247,0
LienwaltAbel,https://www.nairaland.com/lienwaltabel,,"July 04, 2021",10:21pm,Lover of occult rock and doom metal,m,,8 days & 16 hours,1249,4
Dscop,https://www.nairaland.com/dscop,,"June 03, 2022",4:34pm,,,,1 day & 23 hours,127,0
anslemarinze52,https://www.nairaland.com/anslemarinze52,Lagos,"April 03, 2019",10:16pm,God first,m,,18 days & 3 hours,334,30
twosquare,https://www.nairaland.com/twosquare,Ọ̀sun,"May 11, 2013",10:39pm,"""The end of the cycle of the tree of life is immortality—being sealed eternally with the nature of God..""",m,,10 months & 13 days,3288,58
WhatCanIsay,https://www.nairaland.com/whatcanisay,,"October 21, 2020",10:51pm,,m,,1 month,1088,11
Iyeeshaar,https://www.nairaland.com/iyeeshaar,Abuja ,"July 13, 2022",5:32pm,,f,,4 hours & 46 minutes,45,9
Trajan,https://www.nairaland.com/trajan,"Any Time (T), Moment (M), Place (P).","August 06, 2018",10:25pm,Absolutum dominium,m,,19 days & 20 hours,73,5
kaywhy09,https://www.nairaland.com/kaywhy09,Ibadan,"December 30, 2016",7:52pm,No turning back,m,@iwayebrand,12 days & 17 hours,591,42
UyaiIncomparabl,https://www.nairaland.com/uyaiincomparabl,Enjoyment-headquarters. ,"February 23, 2018",11:19pm," Sapiosexual. Opinionated. Realist. Melancholic. Egalitarian. Foodie. Hobbyist-blogger. Writer. Skincare Enthusiast. Tech Enthusiast. ",f,@oneandonlyuyai. ,5 months & 26 days,8530,50
karkinase,https://www.nairaland.com/karkinase,"Lagos,Nigeria","July 25, 2014",9:35pm,Love is a Beautiful thing. ,m,I dont av d time to tweet.. ,7 months & 4 days,1690,11
Jacku,https://www.nairaland.com/jacku,,"June 25, 2020",7:09pm,,,,4 days & 23 hours,1306,4
LogicBomb8,https://www.nairaland.com/logicbomb8,Cyberverse,"December 22, 2021",11:23pm,"""DELAY DEFEATS EQUITY""",,,1 month & 19 days,1007,6
skopiex,https://www.nairaland.com/skopiex,,"December 04, 2015",8:21pm,,m,@skopitex ,2 days & 6 hours,20,15
sript,https://www.nairaland.com/sript,Earth,"April 13, 2020",10:19pm,"More money, more RESPECT",,,28 days & 14 hours,483,7
abpotato,https://www.nairaland.com/abpotato,Ogun,"October 06, 2014",8:55pm,Am so endowed,,,1 month & 13 days,67,4
bukas15,https://www.nairaland.com/bukas15,futo,"November 28, 2015",9:21pm,i luv Jesus,m,,2 months & 13 days,502,0
Acidosis,https://www.nairaland.com/acidosis,Lagos,"February 06, 2010",9:05pm,,m,,1 year & 3 months,28741,368
dreamxhaser,https://www.nairaland.com/dreamxhaser,,"October 26, 2021",9:04pm,,,,15 days & 10 hours,383,20
anayolity,https://www.nairaland.com/anayolity,,"February 15, 2018",11:13pm,One day you will be proud of yourself.....Keep pushing!!,,,1 month & 22 days,748,11
Idoko619,https://www.nairaland.com/idoko619,,"October 05, 2014",10:15pm,Live and let others live. ,m,,26 days & 14 hours,312,2
Eddaman77,https://www.nairaland.com/eddaman77,Abuja ,"January 14, 2020",10:25pm,,m,,2 days & 11 hours,6,0
BobDanielFXs,https://www.nairaland.com/bobdanielfxs,,"July 21, 2022",10:01pm,,,,2 hours & 10 minutes,1,1
rabankonchas,https://www.nairaland.com/rabankonchas,,"October 05, 2021",9:28pm,,,,9 days,42,0
cRobo,https://www.nairaland.com/crobo,Global,"November 29, 2019",10:53pm,"I returned, and saw under the sun, that the race is not to the swift, nor the battle to the strong, neither yet bread to the wise, nor yet riches to men of understanding, nor yet favour to men of skill; but time and chance happeneth to them all",,,1 month & 12 days,2834,18
RedChiefPriest,https://www.nairaland.com/redchiefpriest,"South wakanda, wanna come? Bring lots of palmwine with kolanuts. ","December 19, 2020",10:53pm,I only believe in jesus ,,,18 days & 23 hours,778,8
Joshmoore,https://www.nairaland.com/joshmoore,Brooklyn,"July 17, 2022",10:45pm,,m,,17 hours & 32 minutes,18,0
Xscape047,https://www.nairaland.com/xscape047,,"March 05, 2021",11:19pm,"Are you tired of being Jobless, Looking for and Competing 4 Limited Job Positions? If U r ready 2 get Trained and Recruited to work Digitally with Reputable International Companies, then; You should visit www.digitaljobs.carrd.co 2 get started 4 F7EE",,,23 days & 18 hours,997,0
TimmyTen,https://www.nairaland.com/timmyten,Lagos,"March 02, 2019",10:26pm,,m,,20 days & 14 hours,946,0
oluseyiforjesus,https://www.nairaland.com/oluseyiforjesus,Minna ,"September 17, 2013",9:30pm,wat goes around comes around ,m,@fjoluwalowo ,3 months & 18 days,4708,58
Tecnophone,https://www.nairaland.com/tecnophone,,"June 05, 2022",8:53pm,,,,4 days & 13 hours,273,2
PrimePerfect,https://www.nairaland.com/primeperfect,Benin city,"April 15, 2022",10:57pm,,m,,1 day & 17 hours,70,0
Tapasco,https://www.nairaland.com/tapasco,,"September 19, 2018",8:52pm,,,,8 days & 18 hours,45,0
iCauseTrouble,https://www.nairaland.com/icausetrouble,,"August 03, 2018",11:23pm,,,,3 months,5592,0
Brendaniel,https://www.nairaland.com/brendaniel,,"July 02, 2011",10:23pm,,,,6 months & 25 days,2523,78
Kingzeez10,https://www.nairaland.com/kingzeez10,,"August 01, 2019",10:53pm,One mind and one conscience ,,,1 month,845,16
Ezedon,https://www.nairaland.com/ezedon,Enugu,"May 28, 2011",8:02pm,"I love to be updated, in every aspects of life",m,,1 month & 18 days,4631,31
Itzurboi,https://www.nairaland.com/itzurboi,Ogun,"June 16, 2016",9:07pm,Cliodynamics,m,WTF is happenin over there,3 months & 9 days,1342,9
BESTScientist1,https://www.nairaland.com/bestscientist1,,"August 10, 2021",11:11pm,,,@israelkekule,17 days & 9 hours,604,4
iiifedimma,https://www.nairaland.com/iiifedimma,,"October 14, 2021",11:00pm,,f,,3 days & 4 hours,309,1
richard870,https://www.nairaland.com/richard870,,"June 21, 2010",9:25pm,Even the finest sword plunged in salt-water will eventually rust,m,,2 months & 17 days,1710,62
Draslo,https://www.nairaland.com/draslo,Eko Ile,"December 23, 2020",10:14pm,,m,What's the point of anonymity?,25 days,1912,53
Calibrator,https://www.nairaland.com/calibrator,,"June 08, 2018",9:06pm,,,,2 months & 17 days,1559,0
xynerise,https://www.nairaland.com/xynerise,Lagos,"November 19, 2009",9:52pm,,,,11 months & 4 days,34606,612
havenz,https://www.nairaland.com/havenz,Makurdi,"August 29, 2017",4:09pm,,m,,23 days & 2 hours,523,0
emmabest2000,https://www.nairaland.com/emmabest2000,,"November 07, 2012",11:24pm,"In Order To Succeed , Your Desire For Success Should Be Greater Than Your Fear Of Failure, To Dare Is To Do !!!",m,,7 months & 28 days,7538,87
McOluOmo,https://www.nairaland.com/mcoluomo,Lagos ,"June 04, 2021",9:59pm,Don't be stupid and foolish at the same time ,,Omo ale,1 month & 17 days,1902,0
Terry44,https://www.nairaland.com/terry44,,"March 28, 2021",3:43pm,,,,11 days & 6 hours,81,3
Amotekun777,https://www.nairaland.com/amotekun777,O'odua Land,"January 17, 2020",6:55pm,,,,16 days & 15 hours,1691,1
DARLINGTON869,https://www.nairaland.com/darlington869,Lagos,"October 17, 2019",9:42pm,WhatsApp and Phone number...08038950142,m,,1 month & 10 days,683,125
Angelfrost,https://www.nairaland.com/angelfrost,,"January 08, 2018",10:44pm,“Everyone will always underestimate you. You must make them pay for it” ,m,,7 months & 28 days,29654,7
SatanKeepOff,https://www.nairaland.com/satankeepoff,,"June 29, 2021",4:29pm,,,,4 days & 21 hours,16,0
xtremeTall,https://www.nairaland.com/xtremetall,Lagos ,"December 27, 2016",10:59pm,Dymview.,m,BYOBYO96,1 month & 19 days,529,7
DavidHarry,https://www.nairaland.com/davidharry,,"May 25, 2015",4:19pm,Live and let live ,m,@ndthagreat,1 day & 16 hours,309,1
Kizzygentle,https://www.nairaland.com/kizzygentle,,"May 16, 2019",9:34pm,,,,1 month & 1 day,940,1
diplomat058,https://www.nairaland.com/diplomat058,"Mokola, Ibadan.","April 14, 2016",10:58pm,What really matters ,m,,3 months & 16 days,1079,6
1gbdata,https://www.nairaland.com/1gbdata,,"May 23, 2020",11:01pm,Call/Whatsapp 09080008608,,,7 hours & 7 minutes,90,1
smile11s,https://www.nairaland.com/smile11s,Anywhere I find myself,"March 19, 2007",11:12pm,There is only one race and thats the Human Race..,m,,1 month & 21 days,1993,127
Chizyberry,https://www.nairaland.com/chizyberry,,"January 22, 2020",4:06pm,,,,4 days & 7 hours,16,0
seyigiggle,https://www.nairaland.com/seyigiggle,,"November 18, 2010",5:50pm,,,,4 months & 3 days,1499,46
shogotermies,https://www.nairaland.com/shogotermies,Ask Google Map,"July 03, 2015",10:08pm,peaceful life ,m,,1 month & 17 days,690,59
BadNews,https://www.nairaland.com/badnews,,"August 13, 2021",4:45pm,,,,8 days & 8 hours,1731,256
highchief1,https://www.nairaland.com/highchief1,,"July 13, 2013",10:19pm,,,,1 month & 8 days,1810,4
SerikiFulani,https://www.nairaland.com/serikifulani,Everywhere,"January 29, 2021",4:06pm,Destined for Greatness.,m,,17 days,266,3
RichAbujaGuy,https://www.nairaland.com/richabujaguy,"Abuja- Nairobi -London - Hot Atlanta - Johannesburg, Houston, Miami.","October 30, 2020",10:44pm,"Ask yourself. What have I done today to improve myself, village, city, nation, or the planet.",,,16 days & 9 hours,1037,46
chukkystar,https://www.nairaland.com/chukkystar,Abuja... ,"July 01, 2014",9:51pm,"What is Right to U, depends on ur mindset",m,Chuxdreel,2 months & 11 days,596,0
beardedboy,https://www.nairaland.com/beardedboy,Somewhere,"August 05, 2019",9:23pm,,m,,12 days,648,9
deeva2,https://www.nairaland.com/deeva2,NIGERIA,"August 12, 2020",5:00pm,,,,27 days & 15 hours,1322,20
edosignature,https://www.nairaland.com/edosignature,,"May 29, 2013",9:55pm,Edosignature,m,Signatureedo,8 days & 4 hours,1159,0
Emeka71,https://www.nairaland.com/emeka71,Nigeria,"June 24, 2007",7:15pm,Life is all about choice.,m,Emeka Anyasi,2 months & 2 days,6154,9
ednut1,https://www.nairaland.com/ednut1,Ontario ,"October 08, 2008",11:02pm,,m,,1 year & 6 months,31849,129
dododawa1,https://www.nairaland.com/dododawa1,,"November 10, 2013",6:23pm,,,,2 months & 1 day,5616,56
mastermaestro,https://www.nairaland.com/mastermaestro,,"August 07, 2016",10:52pm,,m,,4 months & 28 days,3243,2
UptownVibes,https://www.nairaland.com/uptownvibes,Asia,"July 06, 2022",11:17pm,Gr8-Vibes,m,,3 days & 9 hours,298,0
bigtt76,https://www.nairaland.com/bigtt76,ina de world,"October 16, 2006",10:49pm,Big Dada!,f,,7 months & 19 days,16695,58
UTMOST10,https://www.nairaland.com/utmost10,,"September 20, 2014",8:19pm,,m,,1 month & 6 days,188,12
Bamz,https://www.nairaland.com/bamz,Lagos,"May 10, 2007",11:12pm,IG - @deiyor ,m,,4 months & 25 days,4571,19
fernandoc,https://www.nairaland.com/fernandoc,UAE,"June 05, 2013",10:03pm,God is the greatest!,m,,4 months & 5 days,1305,24
Icumsa45,https://www.nairaland.com/icumsa45,Lekki,"December 11, 2020",11:24pm,,m,,1 month & 6 days,2089,8
SPAMBOX7,https://www.nairaland.com/spambox7,,"July 31, 2021",10:27pm,Get the bag or wail,,,3 days & 15 hours,373,19
seanwilliam,https://www.nairaland.com/seanwilliam,Ibadan ni o,"March 04, 2016",11:06pm," Regardless life goes on",m,@tuccicards,7 months & 18 days,13534,44
Mrbenny001,https://www.nairaland.com/mrbenny001,,"July 01, 2019",9:31pm,,,,1 month & 21 days,827,5
Rhozabeth,https://www.nairaland.com/rhozabeth,Lagos,"November 09, 2014",7:20pm,"My response is top notch, i don't dignify slowpokes with it!!! ",m,@muyideen_solabi,1 month & 25 days,1258,5
jimmy74,https://www.nairaland.com/jimmy74,Lagos,"August 04, 2006",4:32pm,,m,,3 months & 14 days,75,12
Aaaaarghmed,https://www.nairaland.com/aaaaarghmed,Abuja,"July 04, 2014",7:17pm,,m,,5 months & 16 days,1822,51
tonididdy,https://www.nairaland.com/tonididdy,an ancient city,"February 03, 2012",10:42pm,i was abducted by aliens...and now when i'm missing em...i go into my wtf zone...''forgive me when am not TONIDIDDY,m,,5 months & 3 days,16836,135
MrBroke,https://www.nairaland.com/mrbroke,,"March 07, 2022",4:47pm,,m,,5 days & 3 hours,324,2
GREATESTPIANIST,https://www.nairaland.com/greatestpianist,Lagos Nigeria,"April 12, 2017",7:11pm,"Contact us for your interiors like window blinds , curtains 3D wall panel etc interiors - window blinds, 3D wall panel,, wall papers, installation, ",,,1 month & 26 days,1577,0
Yungmakaveli01,https://www.nairaland.com/yungmakaveli01,,"May 07, 2020",10:20pm,,m,,5 days & 5 hours,69,0
Worldlegend,https://www.nairaland.com/worldlegend,,"September 28, 2021",8:25pm,,,,8 days & 12 hours,218,23
nijaomegacode,https://www.nairaland.com/nijaomegacode,After Earth.,"March 14, 2016",10:16pm,I am a force of nature,m,,1 month & 23 days,1936,83
MemoriesAndMe,https://www.nairaland.com/memoriesandme,,"March 25, 2020",9:55pm,,,,29 days & 22 hours,855,0
TheAdventurous,https://www.nairaland.com/theadventurous,,"April 08, 2022",9:18pm,,,,4 days & 15 hours,20,3
JBoss25,https://www.nairaland.com/jboss25,,"August 07, 2016",11:10pm,,m,,3 months & 19 days,3571,23
TolaniLuv,https://www.nairaland.com/tolaniluv,"Lekki Fase 1. Lagos,Nigeria","May 03, 2008",9:03pm,I've a Dream,,timeismoney925 Instgram ,1 month & 10 days,1524,28
onatisi,https://www.nairaland.com/onatisi,onatisi@zoho.com ,"September 13, 2006",6:18pm,,m,,1 year,23443,95
ModCaller,https://www.nairaland.com/modcaller,,"May 30, 2017",9:13pm,,,,3 days & 16 hours,164,7
imagrg,https://www.nairaland.com/imagrg,,"September 17, 2010",9:31pm,,,,2 months & 3 days,3948,230
Desloaaa,https://www.nairaland.com/desloaaa,,"June 13, 2012",6:19pm,,,,18 days & 2 hours,506,17
FireUpNow,https://www.nairaland.com/fireupnow,Lagos,"January 11, 2022",6:33pm,Keep your friends close but keep your enemy closer,m,,7 days,1274,0
3rdavefarms,https://www.nairaland.com/3rdavefarms,,"December 07, 2016",10:40pm,In God we trust,m,,1 month & 29 days,2034,5
Emperorx,https://www.nairaland.com/emperorx,,"July 01, 2014",10:26pm,,,,23 days & 1 hour,289,0
Badadvisor,https://www.nairaland.com/badadvisor,Fela Shrine,"November 28, 2020",6:49pm,"Therapist, Psychiatrist, Psychologist.",,,1 month & 15 days,378,3
kenchop,https://www.nairaland.com/kenchop,Lagos,"May 02, 2007",8:18pm,,,,2 months & 8 days,369,0
Cypress042,https://www.nairaland.com/cypress042,Mail me,"June 03, 2022",11:25pm,"If you enjoy Trolling you' re my fave. Feel free to quote me, i ain't toxic.   ",m,,14 days & 22 hours,2466,6
achimendy,https://www.nairaland.com/achimendy,Africa ,"October 24, 2017",6:45pm,Let love lead ,m,,14 days & 7 hours,239,5
letitrainnow,https://www.nairaland.com/letitrainnow,,"April 19, 2019",6:48pm,"Amazing Deal. Get 6gb MTN data monthly + 1gb free data daily and make up to N10k daily with free data every day, only on dataway, https://dataway.ng/a/cosaman",m,,15 days & 21 hours,2371,162
Mohbola,https://www.nairaland.com/mohbola,Lagos,"September 10, 2019",6:28pm,,f,,8 days & 23 hours,2423,3
latolz,https://www.nairaland.com/latolz,,"June 14, 2022",10:42pm,,,,1 day & 18 hours,246,0
Bluewitch,https://www.nairaland.com/bluewitch,,"August 11, 2021",8:48pm,Just me and my feminine energy,f,,19 days & 21 hours,301,0
integrity16,https://www.nairaland.com/integrity16,PH,"March 18, 2016",8:54pm,"Gentle, Blunt, and Godly.",m,,3 months & 17 days,758,1
Onyipk,https://www.nairaland.com/onyipk,,"June 17, 2022",7:14pm,,,,3 days & 8 hours,154,0
Dhelight,https://www.nairaland.com/dhelight,,"March 05, 2017",11:25pm,,,,6 hours & 41 minutes,65,26
Temioolajide,https://www.nairaland.com/temioolajide,Lagos,"December 08, 2020",10:51pm,Pen Artist,m,,15 days & 3 hours,123,3
Odidigboigbo,https://www.nairaland.com/odidigboigbo,,"July 22, 2018",7:19pm,,m,,2 months & 8 days,1905,1
simplibaba,https://www.nairaland.com/simplibaba,Lagos,"May 13, 2013",9:47pm,Cool Headed,m,simplibaba,2 months & 8 days,377,3
Obascoetubi,https://www.nairaland.com/obascoetubi,,"May 03, 2012",8:07pm,,,,7 months & 24 days,3653,488
HiideaConsole,https://www.nairaland.com/hiideaconsole,,"August 09, 2021",11:04pm,,m,,16 days & 11 hours,237,4
bepositive11,https://www.nairaland.com/bepositive11,,"May 03, 2020",9:14pm,,,,24 days & 23 hours,3079,4
Yungmil,https://www.nairaland.com/yungmil,,"November 01, 2017",9:33pm,,,,1 month & 5 days,770,97
eedhrisademola,https://www.nairaland.com/eedhrisademola,Lagos,"August 27, 2016",11:01pm,TheCARINGsouL,m,@eedhrisademola,11 days & 18 hours,347,44
lasisi69,https://www.nairaland.com/lasisi69,Budapest,"August 29, 2015",11:20pm,,,,5 months & 1 day,3665,31
Ay04z,https://www.nairaland.com/ay04z,"convenant ota ogun state, BVN printout FOR LOAN AND EMBASSY ","December 01, 2013",10:33pm,Eager to always lear,m,,2 months & 10 days,3020,169
manee2,https://www.nairaland.com/manee2,nigeria,"April 27, 2013",11:21pm,Now that you're here,m,maneecute,21 days & 23 hours,1030,59
Clinghton,https://www.nairaland.com/clinghton,,"January 09, 2019",11:05pm,,,,29 days & 10 hours,1446,5
lendahand,https://www.nairaland.com/lendahand,Gidi,"February 26, 2022",11:20pm,,m,,5 days & 8 hours,188,5
Alexgman1,https://www.nairaland.com/alexgman1,Bayelsa,"June 14, 2020",11:16pm,Am the villain of the story,m,Finfadei,12 days & 14 hours,679,181
doggedfighter,https://www.nairaland.com/doggedfighter,,"October 11, 2018",11:18pm,,f,,7 months & 10 days,13868,0
vakjay08,https://www.nairaland.com/vakjay08,,"March 09, 2017",9:18pm,,m,,1 month & 13 days,199,1
frndfghtr,https://www.nairaland.com/frndfghtr,Lagos,"May 28, 2017",10:36pm,"What so ever u do, to the least of my brethren, that's u did unto me",m,,11 days & 6 hours,293,22
Ayblaize,https://www.nairaland.com/ayblaize,,"December 24, 2016",7:29pm,,m,,1 month & 17 days,344,21
God1000,https://www.nairaland.com/god1000,Igedeland,"September 20, 2017",6:47pm,I'm your future president,m,,1 month & 25 days,6982,404
SultanOfPuna,https://www.nairaland.com/sultanofpuna,,"November 29, 2019",9:01pm,,,,1 month & 16 days,2129,97
Ojikutumomiage,https://www.nairaland.com/ojikutumomiage,Here and Now,"October 01, 2021",10:40pm,Ojikutumomiage,m,,7 days & 14 hours,232,17
GeneralPula,https://www.nairaland.com/generalpula,,"May 22, 2019",11:20pm,,,,4 months & 18 days,8731,0
mrkings84,https://www.nairaland.com/mrkings84,PH,"January 11, 2015",8:56pm,Able God at work!,m,,2 months & 4 days,6280,36
lawrenzooo,https://www.nairaland.com/lawrenzooo,,"July 03, 2015",11:23pm,,,,1 month & 21 days,539,24
Dankovich1,https://www.nairaland.com/dankovich1,,"May 06, 2019",11:24pm,,,,19 days & 7 hours,570,3
Ekejoestar,https://www.nairaland.com/ekejoestar,Seated at the right hand of the Father far above powers and principalities.,"December 04, 2015",9:57pm,Good name is better than gold.,m,,2 months & 8 days,1652,70
CaveAdullam,https://www.nairaland.com/caveadullam,,"July 10, 2019",10:49pm,,,,3 months & 2 days,2507,0
ExtremeDot,https://www.nairaland.com/extremedot,,"July 26, 2021",11:24pm,,,,26 days & 18 hours,129,0
ishowdotgmail,https://www.nairaland.com/ishowdotgmail,Nigeria,"August 27, 2012",2:25pm,You only live once ,m,Under development ,5 months & 9 days,4830,227
Sarkin,https://www.nairaland.com/sarkin,Earth & your heart,"May 18, 2018",10:28pm,,m,,29 days & 10 hours,1544,7
MANNABBQGRILLS,https://www.nairaland.com/mannabbqgrills,Lagos,"April 10, 2016",6:09pm," What we grill : Fish, Chicken, Turkey, Goat (Asun), Shrimps, steaks. Our Barbecue sides: Salad, Coleslaw, Dodo, Baked beans, Potatoes.",,,6 months & 24 days,58664,232
ImoleNaija,https://www.nairaland.com/imolenaija,,"November 21, 2021",11:25pm,,,,28 days & 21 hours,1612,3
bastien,https://www.nairaland.com/bastien,Cele,"October 21, 2013",9:31pm,Standard,,bstienyo,4 months & 25 days,5339,90
GREATIGBOMAN,https://www.nairaland.com/greatigboman,,"April 05, 2022",11:25pm,Nyansh the smell ,,,10 days & 8 hours,498,4
