name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Babs612000,https://www.nairaland.com/babs612000,,"August 24, 2015",12:46pm On Jun 12,,m,,1 month & 10 days,414,1
ahmedonia4real,https://www.nairaland.com/ahmedonia4real,Lagos,"May 20, 2013",11:04am,God of possibility,m,,1 month & 3 days,229,8
babaeko1,https://www.nairaland.com/babaeko1,,"May 06, 2010","10:57am On Jan 09, 2017",,,,12 days & 5 hours,218,38
Porthos,https://www.nairaland.com/porthos,,"October 22, 2013","12:06pm On Apr 22, 2017",,,,5 days & 9 hours,244,4
seunpinky,https://www.nairaland.com/seunpinky,nigeria,"June 29, 2010",12:56pm,,m,,6 months & 4 days,483,10
nwoye72,https://www.nairaland.com/nwoye72,,"September 08, 2015",4:47pm On Jul 22,,,,29 days & 17 hours,351,2
brag3,https://www.nairaland.com/brag3,,"August 07, 2015","1:36pm On Nov 06, 2017",,,,7 days & 20 hours,348,0
arabianights,https://www.nairaland.com/arabianights,,"August 20, 2014","9:48am On Jan 12, 2017",GUTS OVER FEAR,,,16 days & 5 hours,1796,15
johnson232,https://www.nairaland.com/johnson232,,"June 16, 2015","6:03pm On May 13, 2021",,,,1 month & 23 days,2377,18
adanny01,https://www.nairaland.com/adanny01,Nigeria,"June 25, 2007",1:17pm,,m,,6 months & 19 days,6220,86
Druman,https://www.nairaland.com/druman,Lagos Nigeria,"February 14, 2012","11:08pm On Dec 30, 2016",,m,@druconsult,10 days & 18 hours,9,0
back2sender,https://www.nairaland.com/back2sender,,"December 17, 2012",12:30pm,,,,2 months & 27 days,3196,35
chidexxy007,https://www.nairaland.com/chidexxy007,port harcourt,"November 09, 2012",4:30pm On Jul 18,Do unto others what you want others to do unto you,m,@donxchi,3 months & 24 days,4058,0
somez,https://www.nairaland.com/somez,With you.,"July 03, 2015",8:47pm On Jul 27,On Air personality,m,@mauricesomy,2 months & 1 day,2509,390
Fhemmmy,https://www.nairaland.com/fhemmmy,In His Hands . . . . http://www.facebook.com/fhemmy.motos,"June 25, 2008",5:43pm On Jul 27,God is Able . . . We marvel at His Mercies & Grace,,,1 year,128945,408
befto,https://www.nairaland.com/befto,,"July 31, 2015","12:14am On Nov 15, 2016",,,,7 days & 8 hours,265,0
nigeriancuban,https://www.nairaland.com/nigeriancuban,,"August 17, 2015","7:32am On Jun 09, 2017",,,,11 days & 21 hours,1367,28
elfadconcept04,https://www.nairaland.com/elfadconcept04,,"August 20, 2014","9:22pm On Oct 06, 2017",07082866677,m,,22 hours & 9 minutes,53,3
mavverick,https://www.nairaland.com/mavverick,,"August 05, 2015","12:46am On Mar 12, 2018",,,,20 days & 14 hours,1052,6
seunt4ut,https://www.nairaland.com/seunt4ut,,"October 11, 2015",11:39am,"if u open it,close it.if u turn it on,turn it off,if u  break it admit it,if u cannot fix it,cal some1 who can,if u borrow it,return it,if u value it,take care of it,if u make a mess,clean it up,if u move it, put it bk,if it belongs 2 some1 else",m,,1 month & 23 days,905,133
beedam,https://www.nairaland.com/beedam,,"August 05, 2012",9:12am On Jul 27,,f,,3 months & 3 days,1308,3
nameoh,https://www.nairaland.com/nameoh,,"May 12, 2009",1:13pm On Jul 27,,,,4 months & 10 days,167,8
Jummymine,https://www.nairaland.com/jummymine,,"March 04, 2012",3:48am,Be unique,f,,2 months & 13 days,295,15
alakara,https://www.nairaland.com/alakara,ilorin,"July 19, 2013",11:37am,change is inevitable.,m,,6 months & 12 days,1232,13
Esare1,https://www.nairaland.com/esare1,,"August 26, 2013","8:19pm On Dec 27, 2015",,,,1 hour & 21 minutes,1,0
igbi,https://www.nairaland.com/igbi,,"March 02, 2007","5:51am On Dec 23, 2020",,,,1 month & 6 days,212,48
jam04,https://www.nairaland.com/jam04,abeokuta,"March 15, 2012",7:42am On Jul 24,A man with a passion for success,m,,2 months & 19 days,2265,50
Weigher,https://www.nairaland.com/weigher,"Nigeria, lagos","January 09, 2012","10:00pm On Sep 16, 2019",,,,5 days & 6 hours,173,8
Chekitaut,https://www.nairaland.com/chekitaut,"Lagos, Abeokuta","February 12, 2009","6:07pm On Jun 17, 2021",In CHRIST ALONE...,,https://twitter.com/chekitaut1,1 month & 28 days,4742,36
Aventures,https://www.nairaland.com/aventures,"Lagos, Nigeria","August 07, 2010",6:11am,Dignity and Integrity are the strenght of a Dilligient Man.,m,,2 months & 15 days,1856,125
sako28,https://www.nairaland.com/sako28,,"January 07, 2011",8:13am,,,,4 months & 20 days,352,19
Jamesqu,https://www.nairaland.com/jamesqu,Benue-Niger Confluence,"April 22, 2012","8:16pm On Dec 05, 2018","Nigeria, my beloved country, working together is our dream...her future is you and me!",m,,1 day & 23 hours,195,4
kolnel,https://www.nairaland.com/kolnel,,"March 09, 2010",4:26am,,,,5 months & 24 days,1749,4
micgray100,https://www.nairaland.com/micgray100,Kaduna / Abuja ,"April 07, 2015",2:36am,,m,,3 months & 5 days,1764,5
nextstep,https://www.nairaland.com/nextstep,"Asaba, Delta State","July 31, 2014",1:03pm,,m,,3 months & 11 days,5910,3
bugmenot,https://www.nairaland.com/bugmenot,,"February 23, 2011",1:34pm On Jul 09,,,,2 months & 4 days,335,2
Marpol,https://www.nairaland.com/marpol,,"November 22, 2012",1:19pm,,,,4 months & 19 days,1274,26
topsy23,https://www.nairaland.com/topsy23,Lagos,"June 05, 2012",12:58pm,Luv Good FrIends,,,4 months & 7 days,5517,68
Tolakay,https://www.nairaland.com/tolakay,North East Nigeria ,"December 22, 2014",3:52pm On May 06,Allah temoki Nigeria ,,,26 days & 4 hours,324,15
firfinch,https://www.nairaland.com/firfinch,"Nigeria, West Africa.","March 05, 2012",11:31pm On Jul 27,"Whatever your mind can conceive άήȡ believe, can be achieved. . . Aim high, Think differently and positively!",m,,1 month & 10 days,498,10
meetdopi,https://www.nairaland.com/meetdopi,,"May 23, 2010","9:39am On May 08, 2021",,m,,1 month & 12 days,98,3
nwabuwa,https://www.nairaland.com/nwabuwa,,"April 12, 2015",2:02am On Apr 25,,,,1 month & 11 days,391,11
kingreign,https://www.nairaland.com/kingreign,,"August 06, 2015",1:09pm,"Disclaimer: I reserve the right to be wrong, and therefore change my mind about anything at any time, usually for the reason of new information coming to my attention.",m,,9 months & 29 days,13956,147
ayoade1982,https://www.nairaland.com/ayoade1982,,"November 08, 2015","7:15pm On Nov 08, 2015",,,,27 minutes & 47 seconds,1,0
koning,https://www.nairaland.com/koning,,"July 25, 2014",5:59pm On Jul 08,,,,9 days & 10 hours,1126,6
Orabouy,https://www.nairaland.com/orabouy,,"October 26, 2015","8:36am On Nov 27, 2015",,,,9 hours & 5 minutes,6,0
ebrahym,https://www.nairaland.com/ebrahym,Lagos,"December 03, 2007",4:50pm On Jul 21,Message Invigorate Visuals on WhatsApp. https:///message/V3IGUXJYKIKFL1,m,,14 days & 22 hours,499,36
Olasuposaheed,https://www.nairaland.com/olasuposaheed,Ibadan,"June 23, 2013","6:50pm On Jun 14, 2016",Money,m,,23 days & 21 hours,111,4
Benoxvals,https://www.nairaland.com/benoxvals,Anambra State,"July 01, 2014",11:05am,The greatest harm could come from the best intension ,m,Nil,5 months & 10 days,730,10
chemaze,https://www.nairaland.com/chemaze,,"November 28, 2014","5:08pm On Feb 29, 2016",Batlan,m,,3 days & 12 hours,336,17
micbjrex,https://www.nairaland.com/micbjrex,,"October 09, 2013","3:51am On Dec 18, 2021",Knowledge is more valuable than Gold,m,,1 month & 8 days,164,24
clickplust,https://www.nairaland.com/clickplust,,"September 10, 2009","10:41am On Oct 24, 2021",All in one Solar Street Light,,,24 days & 22 hours,3935,258
Chinom,https://www.nairaland.com/chinom,,"January 09, 2012","9:49am On Jun 18, 2017",,m,,13 days & 5 hours,1427,7
PRODUTIM1,https://www.nairaland.com/produtim1,NIGERIA,"November 30, 2011",11:47am,Am a cool and fun to be with person,m,@produtim,1 month & 24 days,347,95
abuixech,https://www.nairaland.com/abuixech,Abuja,"November 22, 2015","10:33pm On Dec 20, 2016",,f,,1 hour & 15 minutes,2,0
Excuzeme,https://www.nairaland.com/excuzeme,,"December 23, 2010",11:13am On Jul 20,,,,26 days & 20 hours,3414,1
ceelog,https://www.nairaland.com/ceelog,,"November 17, 2015",4:24am On Jul 13,,m,,2 months & 5 days,492,0
Gbenke,https://www.nairaland.com/gbenke,,"October 11, 2013",9:52am On May 28,,,,5 days & 17 hours,366,6
Guests,https://www.nairaland.com/guests,,"February 21, 2015","6:39pm On Jun 25, 2016",Life is bliss,,,3 days & 10 hours,244,3
BrabusNG,https://www.nairaland.com/brabusng,0700NEXTHOME,"December 12, 2013","4:59pm On Dec 19, 2021",,,,12 days & 8 hours,659,0
4nobody4every1,https://www.nairaland.com/4nobody4every1,,"October 17, 2015","8:43am On Dec 17, 2016",,,,3 months & 16 days,4178,0
lhanraya2w,https://www.nairaland.com/lhanraya2w,"Lagos, Nigeria","February 10, 2012",4:37pm On Jun 12,,m,,13 days & 7 hours,66,1
Happykay,https://www.nairaland.com/happykay,,"September 17, 2015","10:31pm On Aug 28, 2016",,,,11 hours & 31 minutes,74,1
Cypost,https://www.nairaland.com/cypost,,"February 15, 2009","6:47pm On Nov 02, 2021",,,,1 month & 6 days,270,13
mybad,https://www.nairaland.com/mybad,,"August 12, 2008",3:01pm On Jun 02,,,@8sahy,21 days & 4 hours,374,67
Godspikin,https://www.nairaland.com/godspikin,,"June 10, 2012",7:09am On Jan 18,,,,1 month & 17 days,496,41
Mystical888,https://www.nairaland.com/mystical888,,"July 19, 2014",8:14am On Apr 13,,,,6 days & 7 hours,123,21
olumide4christ,https://www.nairaland.com/olumide4christ,,"October 29, 2013",12:42pm,REMEMBER JESUS LOVES YOU: THEREFORE HONOR HIM IN ALL YOU DO EVERYDAY!,,,2 months & 23 days,2200,11
step16,https://www.nairaland.com/step16,Lagos ,"December 27, 2014",2:35pm On Jun 28,,m,,9 days & 18 hours,210,4
omooba969,https://www.nairaland.com/omooba969,Ahead of you.,"February 08, 2015",7:55am,,m,,5 months & 16 days,12048,1
gbadexy,https://www.nairaland.com/gbadexy,lag,"April 29, 2012",12:37pm,"The world is a movie, we are the actors, nature is the director, God is the producer",m,,1 year & 2 months,4733,174
igbonla,https://www.nairaland.com/igbonla,Mushin Olosa,"June 11, 2006",5:28pm On Feb 07,,m,,15 days & 12 hours,596,11
Drmola,https://www.nairaland.com/drmola,,"October 06, 2012","8:22am On Jan 17, 2016",,,,1 day & 23 hours,14,4
alist,https://www.nairaland.com/alist,warri,"December 09, 2009",7:41am On Jul 17,we put you first.,m,,1 month & 8 days,1416,13
Arnoldfish,https://www.nairaland.com/arnoldfish,LAGOS,"February 25, 2015",10:00pm On Jun 28,,m,,3 days & 19 hours,181,4
Adefiyinfoluwa,https://www.nairaland.com/adefiyinfoluwa,,"January 04, 2016","9:52am On Jul 19, 2016",,,,1 hour & 9 minutes,1,0
skup008,https://www.nairaland.com/skup008,Nigeria,"September 03, 2011",1:19pm,DEATHE IS NOT THE GREATEST LOSS IN LIFE..THE GREATEST LOSS IS WHAT DIES INSIDE WHILE STILL ALIVE...NEVER SURRENDER ,m,,2 months & 17 days,775,27
ewosk,https://www.nairaland.com/ewosk,Niger Delta Republic,"July 01, 2011","5:49am On Sep 29, 2021",Do unto other what you want them to do to you,,easkdechamp,1 month & 14 days,1212,27
amanikondo,https://www.nairaland.com/amanikondo,,"December 10, 2010","9:06am On Nov 06, 2020",,,,1 month & 8 days,1650,45
fash78,https://www.nairaland.com/fash78,,"January 03, 2013",12:18pm,,m,,2 months & 10 days,281,1
castrol180,https://www.nairaland.com/castrol180,Lagos,"May 31, 2013",5:23pm On Jul 11,"If you say education is expensive, try ignorance",m,,1 month & 24 days,2798,29
tevanso,https://www.nairaland.com/tevanso,ajah lagos,"January 21, 2016","1:39pm On Dec 11, 2021","contact us for the best in architectural design and and solution to building construction, 08060506857, tundeevansowolabi@yahoo.com",m,,18 days & 6 hours,475,17
Akpuoru,https://www.nairaland.com/akpuoru,,"June 04, 2010",11:09am,,,,2 months & 19 days,430,29
temi4fash,https://www.nairaland.com/temi4fash,lasgidi,"March 29, 2012",12:53pm,,m,,4 months & 17 days,3078,17
Horlawoomey,https://www.nairaland.com/horlawoomey,Lagos NIGERIA,"April 24, 2012",8:13am,PROUD TECHNOLOGIST,m,@Muthola,5 months & 17 days,2756,23
sgtkole,https://www.nairaland.com/sgtkole,,"April 15, 2012","7:24pm On Mar 31, 2021",,,,10 days & 1 hour,80,2
Olabamijie,https://www.nairaland.com/olabamijie,Abuja,"July 17, 2015",11:17am,Building and Construction| Design| Facility Management |Painting|Planning             +2348078222578,m,@Ajibshelter,1 month & 24 days,86,6
geejayjax,https://www.nairaland.com/geejayjax,,"December 31, 2012",8:18pm On Feb 25,,,,5 days & 11 hours,82,0
sheelay,https://www.nairaland.com/sheelay,Lagos,"May 19, 2013",9:16am,"For cars, Gadgets, and building materials ",m,iam_sheelay,2 months & 1 day,5960,42
bizzle2,https://www.nairaland.com/bizzle2,LOS,"August 16, 2012",3:01am On Jun 28,Que Sera Sera,,,24 days & 10 hours,1866,54
Rushtec,https://www.nairaland.com/rushtec,,"January 24, 2015","4:45pm On Sep 06, 2020",We roof,m,,16 days & 12 hours,1545,51
Uberness,https://www.nairaland.com/uberness,,"January 28, 2016","9:15pm On Feb 15, 2019",,,,6 days & 23 hours,33,0
TouchstoneNgr,https://www.nairaland.com/touchstonengr,Abuja ,"March 05, 2015",7:46pm On May 12,Quality is long remembered after price is forgotten ,,@touchstoneNgr ,27 days & 15 hours,950,5
OORISHA,https://www.nairaland.com/oorisha,Ibadan,"January 30, 2016","10:19pm On Jan 30, 2016",Welcome to my world,m,,4 hours & 36 minutes,1,0
seglad2,https://www.nairaland.com/seglad2,"Lekki, Lagos","August 16, 2014",1:44pm On Jul 23,[color=#990000]Life is book with many papes![/color],m,,11 days & 10 hours,733,51
agarawu23,https://www.nairaland.com/agarawu23,,"August 24, 2014",5:44pm On Jan 18,"my lifestyle, my way 08180 257828. strictly business",m,,6 months,22932,142
fyguy,https://www.nairaland.com/fyguy,,"January 31, 2016","11:21am On Feb 11, 2016",,,,2 hours & 18 minutes,6,0
Akorkor,https://www.nairaland.com/akorkor,,"January 06, 2016",2:15pm On Jul 23,,f,,3 months & 5 days,3054,5
venex,https://www.nairaland.com/venex,"For tech news visit - www.digiconvos.com, For tech jobs, visit","September 10, 2009",11:26pm On Jan 24,"Digiconvos - Tech Blogger, Traveller, Food Lover",f,,19 hours & 44 minutes,73,7
Barryton,https://www.nairaland.com/barryton,,"May 24, 2015","9:58pm On May 31, 2021",,,,26 days & 20 hours,403,28
Slim101,https://www.nairaland.com/slim101,DreamVille Interiors ,"August 11, 2009",5:03pm On Jul 04,DreamVille Interiors: Dream it. Have it. ,m,,3 months & 5 days,479,19
crisisng,https://www.nairaland.com/crisisng,,"February 02, 2016","7:01pm On Jul 10, 2016",,,,1 day & 14 hours,65,0
doveda,https://www.nairaland.com/doveda,Scotland,"December 08, 2015","12:02pm On Oct 20, 2016",,,,17 days & 4 hours,2015,2
esoorita,https://www.nairaland.com/esoorita,,"June 19, 2013","1:39am On May 28, 2021",,,,17 days & 17 hours,321,4
florest,https://www.nairaland.com/florest,Lagos,"November 29, 2013","12:01am On Aug 26, 2017",For as many as are led by the Spirit of GOD (HOLY-SPIRIT)are the sons of GOD.rom. 8:14,m,,11 days & 22 hours,159,12
diordaves,https://www.nairaland.com/diordaves,uk,"February 11, 2010",2:16am On Jul 27,,m,,3 months & 26 days,1580,11
Sprumbaba,https://www.nairaland.com/sprumbaba,,"December 04, 2008",8:53am On Jul 20,,,,1 month & 6 days,1509,16
okikigsm,https://www.nairaland.com/okikigsm,,"March 27, 2015",10:05pm On Jul 27,,,,1 month & 14 days,268,28
One4me,https://www.nairaland.com/one4me,,"May 15, 2012",9:14pm On Mar 11,,,,15 days & 5 hours,2017,0
haykay2005,https://www.nairaland.com/haykay2005,,"September 09, 2008",10:30am,,,,6 months & 21 days,2866,118
danowena,https://www.nairaland.com/danowena,,"July 03, 2015",7:08pm On Jul 27,,,,1 month & 16 days,782,7
Onion16,https://www.nairaland.com/onion16,,"December 24, 2015","2:16am On Sep 01, 2016",,,,5 days & 15 hours,16,1
brokensword,https://www.nairaland.com/brokensword,,"February 12, 2016","8:02pm On Mar 07, 2016",,,,3 days & 3 hours,32,0
lawali,https://www.nairaland.com/lawali,,"August 18, 2006",5:42pm On Jun 16,,,,26 days & 18 hours,251,2
ghetto101,https://www.nairaland.com/ghetto101,,"January 20, 2011","12:15pm On Feb 26, 2018",,m,,18 days & 2 hours,227,1
mikymouse1,https://www.nairaland.com/mikymouse1,,"August 21, 2011","3:53pm On May 30, 2020",,m,,2 months & 6 days,151,12
