name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online
ositadima1,https://www.nairaland.com/ositadima1,,"February 25, 2010",3:16pm On Jul 24,,m,,4 months & 9 days
solomon201,https://www.nairaland.com/solomon201,Here,"March 02, 2007",1:19am On Dec 09,,m,,6 days & 6 hours
avidwan,https://www.nairaland.com/avidwan,,"January 14, 2013",7:37pm On Sep 07,,,,1 hour & 9 minutes
LordRahl001,https://www.nairaland.com/lordrahl001,,"October 03, 2012",3:51pm,,,,1 month & 24 days
biz2get,https://www.nairaland.com/biz2get,US,"August 27, 2010",9:02pm On Jul 23,Time Has Come for you to Live without Fear,m,@itweetFeeds,2 months & 7 days
bonsoirval,https://www.nairaland.com/bonsoirval,,"August 24, 2012",2:06pm On Jul 19,,,,6 hours & 49 minutes
lilyafaten,https://www.nairaland.com/lilyafaten,somewhere around the earth,"November 28, 2011",12:07pm On Jul 17,simply favored by God,,,21 days & 16 hours
spikesC,https://www.nairaland.com/spikesc,London,"November 30, 2010",7:56pm On Apr 26,"Daily as I live, let my life be an expression of your grace",m,,2 months & 24 days
dulaman,https://www.nairaland.com/dulaman,,"December 04, 2010",1:47pm,,,,5 months & 4 days
IdeeEsperanza,https://www.nairaland.com/ideeesperanza,,"January 01, 2013",8:02am On Jul 21,,m,,2 months & 14 days
adexsimply,https://www.nairaland.com/adexsimply,Winterfell,"December 05, 2008",10:50pm On Jul 18,what ????,m,,3 months & 1 day
oluwamitomisin,https://www.nairaland.com/oluwamitomisin,,"January 24, 2013",7:51am On Jul 24,,,,2 months & 18 days
nep2ra,https://www.nairaland.com/nep2ra,United Kingdom,"December 10, 2009",5:40pm On Mar 18,,m,,1 month & 27 days
donziko,https://www.nairaland.com/donziko,lokoja City,"November 13, 2012",12:49pm On Apr 24,"in whatever u do in this life,think bout ur unborn children,cuz wat goes around,comes around.",m,,2 days & 17 hours
Chiefupper,https://www.nairaland.com/chiefupper,ilorin,"December 02, 2011",12:33pm On Jun 03,"""Their is NO deity worthy of worship except ALLAH(S.W.T)""",,@chiefupper2010,2 months & 5 days
hpk,https://www.nairaland.com/hpk,Lagos,"May 28, 2007",1:59pm,i escape in the same mind that traps me. ,m,,2 months & 21 days
johnemone,https://www.nairaland.com/johnemone,still thinking....... guess am lost,"April 01, 2009",9:07pm On Jul 11,success is not a one way street... there are so many branches... so choose the shortest,m,,3 days & 1 hour
sivaramana,https://www.nairaland.com/sivaramana,,"January 31, 2013",4:11am On Jan 31,,,,5 minutes & 42 seconds
Phaymostip,https://www.nairaland.com/phaymostip,,"August 25, 2012",7:15am On Jan 31,MASTER MASON*,m,,14 days & 22 hours
wine4dguy,https://www.nairaland.com/wine4dguy,,"January 24, 2009",9:19pm On Jun 03,,,,22 days & 23 hours
Zikstar4me,https://www.nairaland.com/zikstar4me,lagos,"December 27, 2012",12:47pm On Oct 11,Big dreams,m,Zikstar4me,3 days & 21 hours
stanliwise,https://www.nairaland.com/stanliwise,Naija,"October 15, 2012",11:42am,Am cool and chilling.,m,NIL,2 months & 24 days
thiisme,https://www.nairaland.com/thiisme,,"January 12, 2013",12:49pm On Oct 10,,,,2 days & 16 hours
kabayomi,https://www.nairaland.com/kabayomi," ","August 01, 2011",1:44pm On Jul 21,,m,@kabayomi007,1 month
ayodinho91,https://www.nairaland.com/ayodinho91,,"November 25, 2011",3:47pm On Dec 31,“A critic is a man who knows theway but can’t drive the car.”,,,25 days & 3 hours
Horpy4,https://www.nairaland.com/horpy4,,"September 01, 2012",8:07am On Jul 26,,,,3 days & 3 hours
netesy,https://www.nairaland.com/netesy,echo Location,"December 29, 2010",12:38am On Jun 17,Start asking and stop looking,m,@netesy,7 days & 1 hour
ebixy,https://www.nairaland.com/ebixy,"8.0000° N, 10.0000° E","October 31, 2009",4:16pm,,m,,5 months & 19 days
tuyiseun1,https://www.nairaland.com/tuyiseun1,Lagos,"March 24, 2012",3:36am On Nov 07,,m,tuyiseun,3 days & 14 hours
obioraval,https://www.nairaland.com/obioraval,,"April 11, 2012",2:00pm,,m,,5 months & 25 days
Akeks,https://www.nairaland.com/akeks,,"June 07, 2012",4:51am On Nov 06,"We do what we don't like 2day dat what we like might, 2mrw, come.",m,,1 day & 7 hours
monkvirus,https://www.nairaland.com/monkvirus,,"June 02, 2011",10:01am,"Don't let anyone mock your hustle, cos no one will feed you when you're broke.",m,,1 month & 29 days
felxfame,https://www.nairaland.com/felxfame,Nigeria,"June 09, 2010",3:26pm On Apr 06,God first,m,@felxfames,16 hours & 22 minutes
freshdude,https://www.nairaland.com/freshdude,,"January 10, 2010",3:11pm On Jul 24,,,,2 months & 5 days
Vic2much,https://www.nairaland.com/vic2much,,"September 07, 2012",12:01am On Apr 25,,,,4 days & 22 hours
Rizstar,https://www.nairaland.com/rizstar,,"October 13, 2011",3:15am On Aug 30,,,,2 months & 12 days
Brains1313,https://www.nairaland.com/brains1313,,"January 27, 2013",8:38pm On Sep 29,,m,,3 days & 1 hour
hackMob,https://www.nairaland.com/hackmob,,"February 26, 2013",4:10pm On Apr 23,,,,1 hour & 38 minutes
AngryProf,https://www.nairaland.com/angryprof,,"February 16, 2013",7:29am On Aug 01,,,,1 day & 5 hours
follypimpi,https://www.nairaland.com/follypimpi,~B'ham~,"November 19, 2005",10:15pm On Feb 27,The Nigerian Dream,m,follypimpz,1 month & 17 days
ijeezlux,https://www.nairaland.com/ijeezlux,delta,"March 01, 2013",4:03pm,we do nothing more than programming,m,,3 months & 10 days
DaemonDante,https://www.nairaland.com/daemondante,13q14.1-q14.2,"March 02, 2013",5:10am On Sep 28,,m,@_I_X,57 minutes & 25 seconds
Joezik,https://www.nairaland.com/joezik,Lagos Nigeria,"April 18, 2010",2:29pm,If u wat 2 shoot-SHOOT_dnt talk,m,,28 days & 15 hours
zebudaya,https://www.nairaland.com/zebudaya,"Lagos, Nigeria","February 08, 2006",1:31am On Aug 27,"Everyone has a camera phone. So how come most of the photos of Naija on the internet are bad? Fix this, upload your beautiful pictures and videos of Naija to http://mybeautifulnaija.tumblr.com/",m,,17 days & 16 hours
expertfingers,https://www.nairaland.com/expertfingers,,"September 19, 2012",9:46am On Dec 20,"I am the CEO of ME, I take full responsibility for my actions or inactions.",m,expertfingers,13 days & 13 hours
samsolite,https://www.nairaland.com/samsolite,,"September 27, 2011",3:36pm On Mar 28,There's no road that leads to happiness. Happiness is the way!,m,,2 months & 2 days
javadoctor,https://www.nairaland.com/javadoctor,Lagos,"May 13, 2012",10:50pm On Mar 21,"Specialized java developer in j2se,j2ee,ejb components and java embedded(j2me) platform.bsc comp sci Lagos state University,scjp,scjd,ccja ,love music & little women,& gossip alot",m,@johnson3yo,1 month & 29 days
coolsamie0,https://www.nairaland.com/coolsamie0,"Agege, Lagos","August 24, 2007",11:38am On Jul 22,With God...,m,http://twitter.com/samcorp01,29 days & 22 hours
cmespeak,https://www.nairaland.com/cmespeak,,"March 05, 2010",9:09pm On Sep 28,,,,5 days & 9 hours
eckman,https://www.nairaland.com/eckman,,"February 24, 2010",7:05am On Mar 22,,,,14 hours
authurowen,https://www.nairaland.com/authurowen,,"August 30, 2011",5:33am On Aug 10,,m,,12 hours & 6 minutes
Startechng,https://www.nairaland.com/startechng,,"February 28, 2013",11:24am On Jun 25,,,,2 days & 8 hours
ccrazy,https://www.nairaland.com/ccrazy,,"March 14, 2013",4:56pm On Sep 05,only God can judge me,,,6 days
halogen02,https://www.nairaland.com/halogen02,,"April 27, 2010",10:15pm On Dec 28,,,,6 days & 17 hours
Hellustic,https://www.nairaland.com/hellustic,lagos Nigeria,"August 14, 2008",12:31pm On Jan 17,"be calm, be cool, be focused.",m,,2 days & 15 hours
redrumz,https://www.nairaland.com/redrumz,,"December 24, 2010",9:44pm On May 08,#securityprofessional #panafricanist #omonaija ,m,,16 hours & 37 minutes
alexandra141,https://www.nairaland.com/alexandra141,,"April 04, 2013",4:09pm On Apr 21,,,,53 minutes & 44 seconds
Unkl,https://www.nairaland.com/unkl,Nigeria.,"March 22, 2012",2:32pm On Oct 19,,m,@kingnd05,1 month & 9 days
OmichaelO,https://www.nairaland.com/omichaelo,,"January 15, 2010",4:24pm,,,,3 months & 25 days
cyrielo,https://www.nairaland.com/cyrielo,Lagos Nigeria,"January 21, 2011",1:14pm,,m,@cyrielo,1 month & 13 days
funkymeky,https://www.nairaland.com/funkymeky,,"April 15, 2011",6:39pm On Jul 24,,,,24 days & 2 hours
masagoody,https://www.nairaland.com/masagoody,lasgidi,"December 01, 2012",4:59am On Dec 23,God is faithful ooo!!!...Christ is all that matters to me.....,m,,2 months & 14 days
Zackmr22,https://www.nairaland.com/zackmr22,,"September 05, 2011",4:49pm On Apr 12,,,,58 minutes & 27 seconds
Ayohbk,https://www.nairaland.com/ayohbk,right nxt 2 u,"November 06, 2012",12:52pm,,m,,2 months & 16 days
DharkPoet,https://www.nairaland.com/dharkpoet,,"January 23, 2013",12:58am On Apr 10,"There are only 10 kinds of people in this world, those who understand binary and those who don't!!",m,,1 month & 1 day
Feraz,https://www.nairaland.com/feraz,In an alternate world as an evil Scientist. . . . .,"July 14, 2009",10:54am On Nov 27,,m,,3 months & 26 days
youngmoneyeze,https://www.nairaland.com/youngmoneyeze,,"April 24, 2013",3:43pm On Apr 03,,,,13 days & 15 hours
loyaltyforever,https://www.nairaland.com/loyaltyforever,,"April 29, 2013",8:34am On Oct 15,,,,1 hour & 13 minutes
kobikwelu,https://www.nairaland.com/kobikwelu,Rural Missouri,"March 17, 2008",5:52pm On Dec 28,hapuya aka na jersey,m,,27 days & 5 hours
ojtoluene,https://www.nairaland.com/ojtoluene,,"May 06, 2013",1:16am On Aug 01,,,,2 hours & 28 minutes
TalkIsCheap,https://www.nairaland.com/talkischeap,,"April 10, 2013",4:22pm On Dec 08,,,,1 day & 23 hours
bigdot1759,https://www.nairaland.com/bigdot1759,ibadan,"April 09, 2013",12:39am,It's beta to be hated for what u are dan to be loved for what you are not.........,m,akin1759,3 months & 12 days
twicenoni,https://www.nairaland.com/twicenoni,lagos,"September 03, 2012",12:02pm On Jul 24,https:///2347081432887,m,@official2ic,21 days & 17 hours
Crisnite,https://www.nairaland.com/crisnite,"Lagos, Nigeria.","May 11, 2013",12:04pm On Oct 31,Amat victoria curam (victory loves preparation),m,@manstylo,4 days & 3 hours
tkcent4great,https://www.nairaland.com/tkcent4great,,"November 16, 2012",11:04am On Dec 16,,,,2 hours & 32 minutes
kambo,https://www.nairaland.com/kambo,abuja,"June 01, 2006",1:21pm On Jan 19,,m,,21 days & 19 hours
malign,https://www.nairaland.com/malign,,"April 03, 2013",9:44am On Oct 08,,m,malign,1 day & 6 hours
Nik08,https://www.nairaland.com/nik08,,"February 22, 2008",9:44am On Jan 09,,,,21 hours & 19 minutes
ymiller4real,https://www.nairaland.com/ymiller4real,,"April 13, 2013",8:36am On Sep 10,,,,17 hours & 23 minutes
NonFarmPayrol,https://www.nairaland.com/nonfarmpayrol,,"September 11, 2012",9:17am On Jul 22,,,,1 month & 5 days
mimikemyght,https://www.nairaland.com/mimikemyght,,"May 30, 2013",9:51pm On May 19,,,,2 hours & 32 minutes
princeelder,https://www.nairaland.com/princeelder,,"August 07, 2012",11:49pm On Jul 25,,,,6 hours & 43 minutes
pisolution,https://www.nairaland.com/pisolution,Nigeria,"April 04, 2013",2:18pm On Jul 10,,m,ourwebtutor,3 days & 12 hours
nerdicusprimus,https://www.nairaland.com/nerdicusprimus,,"June 03, 2013",12:01pm On Jul 12,,m,@dev_dude,10 hours & 11 minutes
sealteam66,https://www.nairaland.com/sealteam66,Lagos,"May 23, 2013",11:36pm On Mar 04,Number 1 or nothing,m,,5 days & 23 hours
Princessmel,https://www.nairaland.com/princessmel,,"May 07, 2013",1:37am,Live. Love. Laugh :),f,,12 days & 9 hours
Manus17,https://www.nairaland.com/manus17,Lagos,"August 23, 2012",11:20pm On Jul 24,Contact/WhatsApp me 08138047523,m,Ibu2012,2 months & 22 days
gentlelexis,https://www.nairaland.com/gentlelexis,,"January 24, 2010",5:25pm On May 12,,,,19 hours & 42 minutes
kudaisi,https://www.nairaland.com/kudaisi,"Lagos, Nigeria","March 12, 2008",7:11am On Dec 18,https://github.com/yemikudaisi,m,,5 days
GrAnDwEeZ,https://www.nairaland.com/grandweez,lagos,"June 04, 2013",11:21pm On Jul 24,my skin is black. . .,m,,3 months & 27 days
Alpet,https://www.nairaland.com/alpet,Ilorin.,"June 28, 2011",3:53pm On Jul 10,,m,,2 months & 13 days
ibiamu2002,https://www.nairaland.com/ibiamu2002,,"June 27, 2013",11:40am On Aug 03,,,,19 minutes & 45 seconds
brushesz,https://www.nairaland.com/brushesz,Cloud,"June 28, 2013",4:15pm,,,,2 months & 2 days
Infamous,https://www.nairaland.com/infamous,,"August 08, 2009",3:05pm,whatever,m,,3 months & 5 days
d333,https://www.nairaland.com/d333,,"June 04, 2013",8:42pm On Aug 12,,,,1 day
alicialenoire,https://www.nairaland.com/alicialenoire,,"June 29, 2013",11:23am On Jul 05,I am alicialenoire and i want to become successful programmer.,m,,59 minutes & 10 seconds
Ajibel,https://www.nairaland.com/ajibel,In the belly of a Python,"April 24, 2009",7:31pm On Jul 24,A Human Python,m,@Ajibel,5 months & 16 days
04kaa,https://www.nairaland.com/04kaa,MUMBAI INDIA,"June 25, 2010",6:55pm On Jul 21,NAIRALAND'S NO 1 TROUBLE,,,16 days & 8 hours
obanlaIsaiah,https://www.nairaland.com/obanlaisaiah,"77, Ewupe road sango ota","June 07, 2013",6:31pm On Aug 26,"I am both online and offline marketer
08035363579",m,,1 day & 10 hours
onozor,https://www.nairaland.com/onozor,,"July 01, 2013",10:15am On Oct 27,,m,,1 hour & 50 minutes
aaron6190,https://www.nairaland.com/aaron6190,,"July 04, 2013",12:33pm On Nov 03,All me,,,1 day & 9 hours
Happytina,https://www.nairaland.com/happytina,Enugu,"May 07, 2012",10:41pm On Aug 19,"Seek ye first the Kingdom of God and its Righteousness, every other thing shall be added unto you",f,Tina @clstnugwu,2 days & 14 hours
Nyumba,https://www.nairaland.com/nyumba,,"July 07, 2013",12:41pm On May 21,,m,,1 day & 6 hours
Hennyola,https://www.nairaland.com/hennyola,very close ,"June 25, 2013",5:04pm On Jul 24,,m,,2 months & 10 days
richoko60,https://www.nairaland.com/richoko60,Lagos,"August 04, 2010",6:14pm On Oct 15,,,,7 days & 6 hours
GoodBoi1,https://www.nairaland.com/goodboi1,,"November 13, 2010",3:48pm,,m,,5 months & 13 days
Pins,https://www.nairaland.com/pins,Delta,"May 25, 2012",7:21pm On Jan 16,To get the recharge card printing software for free visit www.hotutblog.com and keep visiting it and i promise to not dissapoint you,m,twitter.com/hottutorials,4 days & 22 hours
Dhortunn,https://www.nairaland.com/dhortunn,Global,"May 23, 2013",8:15am On Mar 22,"Young, Classy, Friendly and Funny...i'm definitely not complicated!",m,,2 months & 13 days
OCTAVO,https://www.nairaland.com/octavo,,"September 01, 2012",5:43pm On Jul 24,Personal text,,@OctavoTech,7 months & 5 days
Andacyn,https://www.nairaland.com/andacyn,,"June 30, 2012",12:19pm On Jun 30,,,,3 days & 11 hours
kennbox,https://www.nairaland.com/kennbox,Nigeria,"October 30, 2006",9:38pm On Jul 24,KennboX Forever!,m,,4 days & 10 hours
babakk2,https://www.nairaland.com/babakk2,,"July 06, 2013",6:05pm On Jun 29,,m,babakk2008,23 days & 4 hours
roadsta,https://www.nairaland.com/roadsta,,"June 04, 2010",2:17pm On Jul 24,,m,,20 days
adrainuche,https://www.nairaland.com/adrainuche,Kuala Lumpur Malaysia,"June 20, 2013",10:00pm On Jun 13,"Computer Geek , Ethical Hacker ",m,@adrainuche,1 month & 8 days
judy56,https://www.nairaland.com/judy56,,"July 15, 2013",5:03am On Jul 29,,,,8 minutes & 33 seconds
dibazz,https://www.nairaland.com/dibazz,,"July 30, 2013",11:28am On Oct 30,,,,4 hours & 26 minutes
blink6,https://www.nairaland.com/blink6,MARS,"October 24, 2012",8:10pm On Dec 09,"the Lord is my shepherd... therefore, I shall not want.",m,,15 days & 13 hours
lifestyle1,https://www.nairaland.com/lifestyle1,"Lagos, Nigeria","February 07, 2006",9:38am,08035330954,m,,5 months & 17 days
ephbe,https://www.nairaland.com/ephbe,,"July 26, 2013",6:40am,"Greetings to all nairalanders......
",m,,1 month & 7 days
cannonnier,https://www.nairaland.com/cannonnier,Sambisa city.,"September 26, 2011",11:05am On Jul 16,I got the biggest heart and the biggestballs and I can take a punch too! ;D ,m,,25 days & 22 hours
Knownpal,https://www.nairaland.com/knownpal,Planet Earth!,"March 30, 2013",9:31pm On Jul 23,All that glitters is not Gold!. Same as SOLESTY.,m,,2 months & 11 days
joshuaopu,https://www.nairaland.com/joshuaopu,,"September 16, 2012",9:43pm On Jun 12,,,,3 days & 11 hours
Davo93,https://www.nairaland.com/davo93,,"September 14, 2011",4:17am On Apr 30,Always endeavour to live right!,m,,2 months & 11 days
Djtm,https://www.nairaland.com/djtm,Nigeria,"October 25, 2010",1:00pm On Jul 16,A mail is just a click away..........,m,,2 months
greatcruz,https://www.nairaland.com/greatcruz,Nigeria,"April 04, 2012",11:13am On Jan 03,,m,chireloaded,1 day & 2 hours
akingenge,https://www.nairaland.com/akingenge,,"August 24, 2013",10:57am On Dec 31,,,,10 hours & 56 minutes
ibietela2,https://www.nairaland.com/ibietela2,Port Harcourt,"November 30, 2011",7:27pm On Jul 04,,m,iamkingsleyf,4 months & 17 days
syllang,https://www.nairaland.com/syllang,,"August 27, 2012",3:04am On Jul 22,Honesty in what you do plus selflessness makes you fulfilled in your endeavor. ,m,,2 days & 23 hours
kennikazi,https://www.nairaland.com/kennikazi,Enugu,"February 19, 2013",8:30pm On May 31,,m,,19 days & 23 hours
olupentane,https://www.nairaland.com/olupentane,Ibadan,"July 27, 2011",3:01pm On Apr 06,"life is not an Ipod where you listen to your favourite songs, but it's a radio, you just have to enjoy what is being played.",m,,1 month & 10 days
Tos87,https://www.nairaland.com/tos87,behind you,"May 19, 2009",3:35pm,Things dont seem the way they are...Abiii????,m,,3 months & 20 days
Damitism,https://www.nairaland.com/damitism,,"June 19, 2011",4:30pm On Jun 19,It's good to be good.,,,2 months & 21 days
fidinwala,https://www.nairaland.com/fidinwala,,"February 21, 2011",4:11pm On Aug 15,,m,@uwachichristian,1 month & 26 days
Obidikejr,https://www.nairaland.com/obidikejr,Abuja,"June 03, 2013",4:48am On Jul 04,I rather light a candle than curse the darkness.,m,,14 days & 1 hour
temitopecoal,https://www.nairaland.com/temitopecoal,,"March 31, 2013",6:44pm On Sep 01,,m,,16 hours & 57 minutes
ifyeky,https://www.nairaland.com/ifyeky,Uyo ,"October 30, 2012",3:13pm On Jun 27,sh*t happens!!!!,m,@ifiokekot,1 month & 2 days
Valon4ego,https://www.nairaland.com/valon4ego," I am where I am ","July 15, 2009",1:52pm On Jan 28,,m,,25 days & 5 hours
dannie04,https://www.nairaland.com/dannie04,,"June 13, 2008",1:53am On May 14,,,,14 days & 18 hours
humnsikan,https://www.nairaland.com/humnsikan,,"November 19, 2012",9:04am On Jul 22,,,,1 month & 3 days
APO,https://www.nairaland.com/apo,lagos,"February 04, 2006",12:58pm On Apr 29,,f,,9 days & 6 hours
doziej84,https://www.nairaland.com/doziej84,,"February 23, 2009",5:26pm On Mar 18,,,,1 month & 29 days
dsypha,https://www.nairaland.com/dsypha,,"July 09, 2013",3:24pm On Sep 27,cool dude,m,,17 days & 16 hours
vinkela,https://www.nairaland.com/vinkela,,"August 17, 2011",10:43am On Jan 04,,m,,3 days & 8 hours
thenabster,https://www.nairaland.com/thenabster,,"December 05, 2010",3:40pm On Jan 20,,m,michaelnana,1 day & 3 hours
dokunbam,https://www.nairaland.com/dokunbam,"lagos, Nigeria","May 14, 2011",6:28pm On Jun 11,,m,@dokunbam,4 months & 13 days
marlockj,https://www.nairaland.com/marlockj,,"April 17, 2012",8:44am On Jul 01,,,,21 days & 6 hours
BroJ,https://www.nairaland.com/broj,,"October 01, 2013",8:45am On Feb 09,,,,5 days & 13 hours
just1k,https://www.nairaland.com/just1k,,"October 02, 2013",10:50am On Oct 17,,,,1 hour & 23 minutes
sussyangel,https://www.nairaland.com/sussyangel,,"January 08, 2013",2:13pm On Sep 19,,,,8 days & 22 hours
blado,https://www.nairaland.com/blado,,"August 28, 2007",8:53am On Oct 28,,,,2 days & 15 hours
5hyguy,https://www.nairaland.com/5hyguy,,"November 01, 2013",5:22am On May 26,,,,7 days
