name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online
yesloaded,https://www.nairaland.com/yesloaded,,"January 08, 2017",4:57pm,"[b][color=#000099]LAPTOPS, & IPHONE VERY CLEAN LIKE NEW USA USED AVAILABLE FOR SALE!!![/color][/b] [b][color=#770000]CALL/WHATSAPP 08137750741[/color][/b] [color=#006600][b]FOR DETAILS[/color][/b] https:///send?phone=2348137750741",,,4 months & 12 days
stanisbaratheon,https://www.nairaland.com/stanisbaratheon,,"June 27, 2014",4:30pm,,,,4 months & 8 days
Ayinke93,https://www.nairaland.com/ayinke93,Lagos,"November 02, 2016",5:14pm,,f,Adebowaleyemisi,2 months & 17 days
doggedfighter,https://www.nairaland.com/doggedfighter,,"October 11, 2018",5:15pm,,f,,7 months & 10 days
alizma,https://www.nairaland.com/alizma,,"February 25, 2016",4:58pm,,,,5 months & 24 days
PJtech,https://www.nairaland.com/pjtech,,"February 26, 2022",12:44pm,,,,3 days
fuke,https://www.nairaland.com/fuke,Nigeria,"March 10, 2009",12:37pm,NO MAN IS TRULY FREE WHO WORKS FOR ANOTHER MAN,m,,1 month & 24 days
BadNews,https://www.nairaland.com/badnews,,"August 13, 2021",5:09pm,,,,8 days & 3 hours
AmazingELixir,https://www.nairaland.com/amazingelixir,Here,"August 21, 2018",12:43pm,,,,4 months & 20 days
Mariangeles,https://www.nairaland.com/mariangeles,,"November 09, 2017",5:14pm,Star girl. God's girl.,f,,5 months & 20 days
fluffybaby,https://www.nairaland.com/fluffybaby,,"November 01, 2012",4:19pm,,f,,7 days & 10 hours
Dialpad,https://www.nairaland.com/dialpad,,"April 19, 2021",12:39pm,,,,1 month & 25 days
Onyipk,https://www.nairaland.com/onyipk,,"June 17, 2022",4:46pm,,,,3 days & 7 hours
VawulentComrade,https://www.nairaland.com/vawulentcomrade,,"June 30, 2022",1:28pm,,,,13 minutes & 47 seconds
myike2,https://www.nairaland.com/myike2,Canada,"September 15, 2009",3:59pm,Attitude is better than knowledge!,m,,29 days & 9 hours
akpumping7720,https://www.nairaland.com/akpumping7720,"Lagos, Nigeria.","June 05, 2012",12:51pm,if Men were God.... Desert would have been the home of the poor!,m,@magnumbase,1 month & 11 days
grossintel,https://www.nairaland.com/grossintel,,"November 17, 2013",1:45pm,,m,,3 months & 12 days
slimjohn2k5,https://www.nairaland.com/slimjohn2k5,,"April 28, 2017",5:12pm,,,,2 months & 17 days
tensazangetsu20,https://www.nairaland.com/tensazangetsu20,,"July 29, 2016",5:15pm,,m,,1 year & 7 months
Pk01,https://www.nairaland.com/pk01,,"August 29, 2020",4:49pm,Alhamdulillah ,m,,1 month & 7 days
sprinter101,https://www.nairaland.com/sprinter101,,"July 21, 2015",12:49pm,,m,,1 month & 10 days
Emma1Oj,https://www.nairaland.com/emma1oj,EmmaCity,"August 05, 2013",12:45pm,"Talk less, Act more!!",m,,2 months & 18 days
AkuOlisa,https://www.nairaland.com/akuolisa,,"January 07, 2020",4:51pm,,,,16 days & 17 hours
Raxxye,https://www.nairaland.com/raxxye,South- South Nigeria,"November 03, 2011",1:26pm,,m,,4 months & 18 days
Ericdeezy,https://www.nairaland.com/ericdeezy,,"June 17, 2020",4:10pm,,,,10 days & 23 hours
kinzd,https://www.nairaland.com/kinzd,Owerri,"September 04, 2017",4:57pm,Still i RISE,m,,2 months & 8 days
Hassanmaye,https://www.nairaland.com/hassanmaye,,"September 19, 2020",5:01pm,,m,,1 month
tunnex190,https://www.nairaland.com/tunnex190,,"November 05, 2007",2:10pm,,,,2 months & 24 days
greenermodels,https://www.nairaland.com/greenermodels,,"July 31, 2015",5:15pm,,,,28 days & 9 hours
Skinolee,https://www.nairaland.com/skinolee,,"May 28, 2022",1:09pm,Only God is able,m,,18 hours & 52 minutes
Acidosis,https://www.nairaland.com/acidosis,Lagos,"February 06, 2010",5:15pm,,m,,1 year & 3 months
workchopNG,https://www.nairaland.com/workchopng,,"April 29, 2022",5:13pm,,,,4 days & 12 hours
Holysax29,https://www.nairaland.com/holysax29,,"September 10, 2016",4:36pm,,m,,29 days
MCKAY82,https://www.nairaland.com/mckay82,,"October 16, 2018",12:59pm,,m,,6 days & 19 hours
WatchYourSix,https://www.nairaland.com/watchyoursix,,"March 24, 2022",5:00pm,,,,14 days & 18 hours
jericco1,https://www.nairaland.com/jericco1,Abuja,"October 30, 2012",2:23pm,"I don't really care what life thinks about the way I do things, all I care about are the things I do just to make life worthwhile.",m,@jerryrobben,4 months & 4 days
neonly,https://www.nairaland.com/neonly,,"October 16, 2014",3:12pm,,,,3 months
dangermouse,https://www.nairaland.com/dangermouse,Neverland,"February 28, 2013",1:41pm,,m,,4 months & 2 days
obataokenwa,https://www.nairaland.com/obataokenwa,"PH, Abuja ","August 23, 2014",4:48pm,Circumstances dont move me,m,,4 months & 26 days
kissdreyalltime,https://www.nairaland.com/kissdreyalltime,,"July 27, 2016",3:27pm,,,,9 days & 11 hours
Udemzy05,https://www.nairaland.com/udemzy05,,"April 10, 2022",3:09pm,,,,8 days & 20 hours
truthCoder,https://www.nairaland.com/truthcoder,"Aso Villa, Abuja","October 06, 2021",3:34pm," The more I learn, the greater is my understanding that I know so little",,,16 days & 15 hours
MondayOsunbor,https://www.nairaland.com/mondayosunbor,,"September 08, 2018",3:02pm,Monday Osunbor was a Nigerian armed robber and lieutenant of Lawrence Anini ,m,,2 months & 6 days
mecuries,https://www.nairaland.com/mecuries,,"August 31, 2018",4:54pm,,m,,29 days & 17 hours
Nyanabo,https://www.nairaland.com/nyanabo,50 miles off the middle of no where.,"May 08, 2018",3:00pm,,m,,29 days & 15 hours
sonssyo,https://www.nairaland.com/sonssyo,,"September 02, 2013",5:01pm,Grace of GOD  found ME,,,1 month & 2 days
lolu2019,https://www.nairaland.com/lolu2019,,"March 21, 2021",4:51pm,,,,1 month & 3 days
Hagiazomakai,https://www.nairaland.com/hagiazomakai,,"July 12, 2022",4:22pm,,,,9 hours & 42 minutes
trevorhorace,https://www.nairaland.com/trevorhorace,,"January 26, 2016",5:15pm,"might is powerful, wisdom is supreme. ",m,,29 days & 15 hours
Awise09,https://www.nairaland.com/awise09,Naija neighborhood,"August 11, 2021",5:11pm,Positive nothing becomes negative things,m,,20 days & 2 hours
Advision,https://www.nairaland.com/advision,,"October 01, 2014",3:43pm,,,,17 days & 14 hours
GodisFirst,https://www.nairaland.com/godisfirst,,"May 17, 2020",2:17pm,,,,13 days & 20 hours
Thisisanfield,https://www.nairaland.com/thisisanfield,,"September 12, 2021",1:41pm,,,,3 days & 13 hours
etrange,https://www.nairaland.com/etrange,"Toronto, Canada ","December 08, 2017",3:46pm,The way I think scares me,,,2 months & 20 days
naijapikin2,https://www.nairaland.com/naijapikin2,NIGERIA,"September 08, 2018",2:01pm,JESUS REIGNS,m,,14 days & 17 hours
15thAccount,https://www.nairaland.com/15thaccount,,"April 13, 2020",4:06pm,,,,18 days & 13 hours
Viltron,https://www.nairaland.com/viltron,Beneath the Horizon,"December 25, 2016",1:56pm,I'm your inner conscience ,m,,1 month & 8 days
ExplorerReturns,https://www.nairaland.com/explorerreturns,,"December 08, 2015",4:58pm,"professional full stack web developer. specialized in developing complex, unique and highly functional websites for businesses and companies holla me at ozorclinton@gmail.com.com for any web related work. WhatsApp 09061495389",m,,1 month & 3 days
DeipTruth,https://www.nairaland.com/deiptruth,Ph,"October 13, 2021",2:04pm,Life and death are in your Hands,m,,3 days & 13 hours
Divay22,https://www.nairaland.com/divay22,DELTA ,"November 28, 2016",3:55pm,I'm not satisfied with what i have but i am contented.  ,f,,7 months & 10 days
maximizer61,https://www.nairaland.com/maximizer61,imo state,"January 06, 2016",2:22pm,,m,,1 month & 16 days
CulturedGotahia,https://www.nairaland.com/culturedgotahia,,"March 01, 2022",4:52pm,,,,1 day & 15 hours
Abujason,https://www.nairaland.com/abujason,,"June 11, 2021",5:09pm,,,,1 month
IMASTEX,https://www.nairaland.com/imastex,,"June 26, 2016",5:15pm,"SURE MEN HERBAL TEA: Delays Ejaculation, Ensure Strong, Hard And Lasting Erection With Fertile Sperm Naturally. .Get Giant & Breeding SNAILS. Snail Calcium Supp. Training On Farm-Setup, Rearing, Marketing, etc. Call: +2348038625446 WhatsApp: +23453363999",,,4 months & 2 days
hpk,https://www.nairaland.com/hpk,Lagos,"May 28, 2007",1:59pm,i escape in the same mind that traps me. ,m,,2 months & 21 days
MICHEALADEX,https://www.nairaland.com/michealadex,Lagos ,"March 28, 2010",1:59pm,,m,,3 months & 13 days
OLULAW,https://www.nairaland.com/olulaw,,"March 06, 2010",4:17pm,,,,10 days & 8 hours
Pipefitter,https://www.nairaland.com/pipefitter,,"July 31, 2020",4:57pm,,,,24 days & 8 hours
aikyg,https://www.nairaland.com/aikyg,Nigeria,"June 15, 2007",2:31pm,Head first.........,m,,27 days & 6 hours
lereinter,https://www.nairaland.com/lereinter,,"February 09, 2016",4:48pm,,m,,3 months & 4 days
quentin06,https://www.nairaland.com/quentin06,,"February 03, 2017",4:24pm,,,,1 month & 4 days
darexolu16,https://www.nairaland.com/darexolu16,"sango otta,ogun state","June 01, 2019",4:31pm,never give up on your dreams ,m,,3 days & 2 hours
Lama70,https://www.nairaland.com/lama70,Nigeria,"January 09, 2020",4:42pm,,m,,1 month
Sirchiboy,https://www.nairaland.com/sirchiboy,,"November 15, 2021",5:09pm,,,,19 days & 3 hours
Skyview01,https://www.nairaland.com/skyview01,Nigeria,"January 21, 2021",3:29pm,,m,,1 month & 6 days
bellina715,https://www.nairaland.com/bellina715,River state,"October 01, 2015",3:14pm,A setback is a setup 4 a comeback,f,rollandkristy,3 months & 1 day
BigMoneyeye,https://www.nairaland.com/bigmoneyeye,,"July 15, 2021",3:15pm,,,,2 days & 9 hours
longifilis,https://www.nairaland.com/longifilis,Lagos State,"December 05, 2020",4:02pm,"Person no fit spoil my life so far I no spoil person own...God the Ultimate, Universe, Beginning and the End",m,Arapaima_23,3 days & 18 hours
holubee21,https://www.nairaland.com/holubee21,Ibadan,"March 05, 2016",2:56pm,Awesome God,m,,1 month & 7 days
emmyluizzz,https://www.nairaland.com/emmyluizzz,city of Owerri,"January 09, 2016",5:15pm,08135251908,m,emmyluiz4,1 month & 20 days
clockwisereport,https://www.nairaland.com/clockwisereport,Enugu,"June 30, 2017",3:51pm,,,,3 months & 11 days
negga4al,https://www.nairaland.com/negga4al,,"January 29, 2010",3:08pm,,m,@negga4al,24 days & 13 hours
joyousever,https://www.nairaland.com/joyousever,Lagos,"December 05, 2018",3:45pm,joy always,f,,1 month
Watinhapen,https://www.nairaland.com/watinhapen,Lagos,"July 15, 2012",4:36pm,wats happening.......,m,,11 days & 2 hours
LowKeyManny,https://www.nairaland.com/lowkeymanny,,"February 24, 2022",4:57pm,,,,4 days & 3 hours
GboyegaD,https://www.nairaland.com/gboyegad,Lasgidi,"April 13, 2008",4:16pm,,m,,5 months & 18 days
phemmyfour,https://www.nairaland.com/phemmyfour,,"May 04, 2012",4:23pm,,,,2 months & 5 days
Macgyver1,https://www.nairaland.com/macgyver1,,"April 11, 2017",4:25pm,One who has the Privilege to Hear From GOD Never Misses His way...,,,2 months & 10 days
Gerrard59,https://www.nairaland.com/gerrard59,Somewhere. ,"July 06, 2011",4:27pm,"Whatever a wo(man) believes and work towards to, s/he can achieve.",m,... ,10 months & 15 days
Thanksful,https://www.nairaland.com/thanksful,,"June 27, 2021",5:15pm,,,,18 days & 9 hours
elpochas,https://www.nairaland.com/elpochas,,"February 12, 2016",4:48pm,,,,3 months & 8 days
Goalnaldo,https://www.nairaland.com/goalnaldo,Somewhere in Delta State,"July 21, 2015",5:06pm,"Yes, when this heart and flesh shall fail and mortal life shall cease, I shall possess within the vail a life of joy and peace.",m,@Brytophobia,3 months
Blackman101,https://www.nairaland.com/blackman101,,"December 25, 2020",4:56pm,,,,12 days & 6 hours
Obaman12,https://www.nairaland.com/obaman12,,"June 12, 2019",5:14pm,,,,10 days & 22 hours
