name,profile_link,location,time_registered,last_seen
bluebloodxvi,https://www.nairaland.com/bluebloodxvi,,"October 15, 2019",: 6:29pm On Jul 23
Kedro,https://www.nairaland.com/kedro,abuja nigeria,"March 14, 2010",: 2:14pm
Emmyxclusive,https://www.nairaland.com/emmyxclusive,,"March 27, 2013",: 2:24pm
Mayorla,https://www.nairaland.com/mayorla,,"July 26, 2020",: 2:19pm
KelvinRukky,https://www.nairaland.com/kelvinrukky,Delta,"July 14, 2017",: 1:38pm
Rollins98,https://www.nairaland.com/rollins98,,"November 24, 2021",: 10:30pm On Jun 23
Ebube043,https://www.nairaland.com/ebube043,,"September 06, 2020",: 2:14pm
saintobas,https://www.nairaland.com/saintobas,,"January 09, 2016",: 8:00pm On Jul 20
jidex4life,https://www.nairaland.com/jidex4life,,"January 04, 2016",: 10:42am
chukwuebuka65,https://www.nairaland.com/chukwuebuka65,anambra,"February 25, 2021",: 1:30pm
jjparagon,https://www.nairaland.com/jjparagon,Calabar,"August 11, 2013",: 7:11pm On Jul 07
Anon5000,https://www.nairaland.com/anon5000,,"June 22, 2022",: 12:54pm
skyreacher,https://www.nairaland.com/skyreacher,,"August 26, 2014",: 6:21pm On Jul 21
andyboi4real,https://www.nairaland.com/andyboi4real,EARTH,"July 06, 2015",: 1:39pm
tidymenow,https://www.nairaland.com/tidymenow,,"February 17, 2017",: 12:59pm
9ise,https://www.nairaland.com/9ise,"Nigeria, Lagos, Ikorodu.","May 11, 2009",: 7:23am On Jul 24
Richardson556,https://www.nairaland.com/richardson556,,"June 24, 2020",: 6:44pm On Jun 29
Chevalier,https://www.nairaland.com/chevalier,"Ondo State, Nigeria","October 31, 2015",: 12:35pm On Jul 18
Disneyboy,https://www.nairaland.com/disneyboy,,"October 31, 2013",: 2:21pm
djsteplion,https://www.nairaland.com/djsteplion,,"March 24, 2018",: 11:26pm On Jul 04
awesomeJ,https://www.nairaland.com/awesomej,,"February 29, 2016",: 10:57pm On Jul 19
JsScript,https://www.nairaland.com/jsscript,,"December 10, 2020",: 12:21pm On Jul 24
Excellence100,https://www.nairaland.com/excellence100,"Ibadan, Nigeria","June 30, 2018",: 7:36pm On Jul 11
Ihenzy,https://www.nairaland.com/ihenzy,Taraba,"March 25, 2017",: 9:07am
NomzyJust,https://www.nairaland.com/nomzyjust,Abuja,"February 24, 2015",: 10:54pm On Jul 24
devtarget,https://www.nairaland.com/devtarget,,"June 24, 2022",: 1:05pm On Jul 19
BenzEne1,https://www.nairaland.com/benzene1,,"August 25, 2011",: 6:33pm On Jul 24
charlesdprof,https://www.nairaland.com/charlesdprof,Anambra,"March 21, 2017",: 1:52pm
usernotfound,https://www.nairaland.com/usernotfound,,"June 17, 2022",: 1:33am
mattyrukee,https://www.nairaland.com/mattyrukee,Earth,"February 24, 2017",: 5:05pm On Jul 19
slowman06,https://www.nairaland.com/slowman06,,"July 01, 2022",: 6:12pm On Jul 22
Tobedated,https://www.nairaland.com/tobedated,,"September 28, 2021",: 2:11pm
Odogwu002,https://www.nairaland.com/odogwu002,,"July 04, 2022",: 4:20am On Jul 12
Savagr,https://www.nairaland.com/savagr,,"April 01, 2022",: 2:18pm
Elxandre,https://www.nairaland.com/elxandre,,"August 15, 2012",: 9:46am
Geofavor,https://www.nairaland.com/geofavor,Benin,"October 11, 2014",: 4:13pm On Jul 20
Belkid01,https://www.nairaland.com/belkid01,kano / Abuja,"November 20, 2015",: 2:28pm
TWOWAYMIRROR,https://www.nairaland.com/twowaymirror,,"October 19, 2015",: 6:21am
demmyhandsome,https://www.nairaland.com/demmyhandsome,IBADAN ,"July 25, 2014",: 6:41pm On Jul 19
Galapagous,https://www.nairaland.com/galapagous,earth,"November 16, 2013",: 11:00am
ajerimitan,https://www.nairaland.com/ajerimitan,,"January 05, 2017",: 1:34pm
Socrates1111,https://www.nairaland.com/socrates1111,,"July 09, 2022",: 1:29pm On Jul 11
sireAyaz,https://www.nairaland.com/sireayaz,,"June 15, 2022",: 10:37pm On Jul 24
Elevenn,https://www.nairaland.com/elevenn,Jos,"December 21, 2021",: 8:54am
Cyberdotman,https://www.nairaland.com/cyberdotman,,"October 29, 2017",: 2:00pm On Jul 19
Davidgregs,https://www.nairaland.com/davidgregs,Uyo,"September 21, 2021",: 11:30pm On Jul 18
Skyblazer,https://www.nairaland.com/skyblazer,Lagos,"October 25, 2018",: 7:27pm On Jul 20
Adora20,https://www.nairaland.com/adora20,,"May 20, 2022",: 6:30pm On Jul 15
suneepet1,https://www.nairaland.com/suneepet1,lagos,"November 24, 2009",: 11:25pm On Jul 23
parkervero,https://www.nairaland.com/parkervero,,"October 09, 2020",: 1:04pm
Coderkunle,https://www.nairaland.com/coderkunle,,"May 29, 2018",: 10:30am On Jul 20
dastroud,https://www.nairaland.com/dastroud,,"May 28, 2015",: 5:28pm On Jul 23
Witheld01,https://www.nairaland.com/witheld01,,"July 15, 2022",: 3:17pm On Jul 17
JohnnyEl,https://www.nairaland.com/johnnyel,,"December 07, 2021",: 7:40am
Gospel367,https://www.nairaland.com/gospel367,,"October 13, 2013",: 2:46pm On Jul 24
Gettyshima001,https://www.nairaland.com/gettyshima001,,"July 16, 2022",: 1:23pm On Jul 16
lasgidi4rv,https://www.nairaland.com/lasgidi4rv,,"February 09, 2010",: 6:44pm On Jul 24
TIMIJAT,https://www.nairaland.com/timijat,,"May 17, 2012",: 12:51am
coolutemper,https://www.nairaland.com/coolutemper,,"November 02, 2013",: 11:00pm On Jul 23
Agbebakun22,https://www.nairaland.com/agbebakun22,Lagos,"April 16, 2020",: 8:20am On Jul 20
SWEAbim,https://www.nairaland.com/sweabim,,"July 18, 2022",: 7:11am
adeinfinity,https://www.nairaland.com/adeinfinity,,"July 19, 2022",: 9:20am
OYENIYIJK,https://www.nairaland.com/oyeniyijk,anywhere in the SOUTH WEST,"July 31, 2019",: 1:06pm
exclusive7,https://www.nairaland.com/exclusive7,Nigeria,"July 06, 2014",: 1:14pm
GuestReader88,https://www.nairaland.com/guestreader88,,"November 16, 2021",: 7:41pm On Jul 23
Xandelle,https://www.nairaland.com/xandelle,,"September 24, 2019",: 2:10pm
KushLyon,https://www.nairaland.com/kushlyon,Benin city,"December 12, 2016",: 10:08am
jackcanfield,https://www.nairaland.com/jackcanfield,Nigeria ,"January 04, 2020",: 10:33am
hefexzy,https://www.nairaland.com/hefexzy,Lagos  Nigeria.,"March 06, 2017",: 2:27pm
UyaiIncomparabl,https://www.nairaland.com/uyaiincomparabl,Enjoyment-headquarters. ,"February 23, 2018",: 1:20pm
Oiashe,https://www.nairaland.com/oiashe,,"May 25, 2017",: 7:11pm On Jul 24
Vicky2k,https://www.nairaland.com/vicky2k,Nigeria,"June 09, 2010",: 1:48am
gentiles,https://www.nairaland.com/gentiles,Naples,"October 07, 2017",: 10:38am
socoy,https://www.nairaland.com/socoy,,"January 26, 2021",: 9:16pm On Jul 24
Colareire,https://www.nairaland.com/colareire,,"July 24, 2022",: 9:52pm On Jul 24
ALFERED007,https://www.nairaland.com/alfered007,,"July 15, 2022",: 11:35am
